name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:14:866;
epsnr;38.43;
frames;
  count;446;
    I;2 (0.44%);
    P;207 (46.41%);
    B;237 (53.13%);
  size (byte) / encode ratio (avg);4892 / 158;
    I;37 364 / 20;
    P;8 326 / 93;
    B;1 618 / 480;
bit allocation;
  max;1 357 432;
  avg;1 128 448;
  min;1 009 432;
qp;
  qp min;9;
  qp avg;27.01;
  qp max;40;
distribution (bits);
    total;39 136 (100.00%);
    mb_skip;719 (1.84%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;2 410 (6.16%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;484 (1.24%);
    pred_mode;1 228 (3.14%);
    inter_prediction;9 360 (23.92%);
transform;
    coded_block_pattern;2 971 (7.59%);
    transform_size_8x8_flag;84 (0.21%);
    mb_qp_delta;2 216 (5.66%);
    transform;18 196 (46.50%);
    pcm_data;0 (0.00%);
