name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;25;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:17:240;
epsnr [383];37.28;
frames;
  count;431;
    I;1 (0.23%);
    P;216 (50.11%);
    B;214 (49.65%);
  size (byte) / encode ratio (avg);8569 / 90;
    I;40 499 / 19;
    P;12 967 / 59;
    B;3 980 / 195;
bit allocation;
  max;1 940 000;
  avg;1 704 200;
  min;1 474 000;
qp [0-384];
  qp min;16;
  qp avg;26.43;
  qp max;44;
distribution (bits);
    total;68 423 (100.00%);
    mb_skip;427 (0.63%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;3 544 (5.18%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;1 556 (2.27%);
    pred_mode;2 801 (4.09%);
    inter_prediction;10 429 (15.24%);
transform;
    coded_block_pattern;6 631 (9.69%);
    transform_size_8x8_flag;606 (0.89%);
    mb_qp_delta;5 649 (8.26%);
    transform;35 282 (51.56%);
    pcm_data;0 (0.00%);
