stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;27770;25;;;;;39.165920;;222 160;0;0;2 537;0;;17 581;27 061;0;;0;1 159;3 856;163 034;0;
1;1;0x0000000I64X;1;P;00:00:00:040;2989;26;;;;;38.576549;;23 912;831;0;1 358;0;;30;87;7 217;;3 470;4;2 584;7 155;0;
2;2;0x0000000I64X;2;P;00:00:00:080;3509;26;;;;;38.115504;;28 072;697;0;1 717;0;;108;251;7 741;;4 208;16;3 269;8 893;0;
3;4;0x0000000I64X;4;P;00:00:00:160;10273;24;;;;;33.966263;;82 184;198;0;3 749;0;;1 172;1 705;14 973;;7 305;146;6 318;45 315;0;
4;3;0x0000000I64X;3;B;00:00:00:120;1344;30;;;;;38.294438;;10 752;947;0;2 017;0;;7;43;3 852;;935;108;856;1 064;0;
5;6;0x0000000I64X;6;P;00:00:00:240;22122;20;;;;;37.387647;;176 976;60;0;5 315;0;;2 351;3 392;21 919;;7 150;267;8 339;126 805;0;
6;5;0x0000000I64X;5;B;00:00:00:200;2321;26;;;;;40.579692;;18 568;894;0;3 265;0;;54;107;5 706;;2 063;287;1 639;3 491;0;
7;8;0x0000000I64X;8;P;00:00:00:320;10036;23;;;;;39.264307;;80 288;276;0;3 924;0;;1 157;1 665;15 720;;7 021;124;6 063;43 022;0;
8;7;0x0000000I64X;7;B;00:00:00:280;4214;24;;;;;39.085975;;33 712;722;0;4 747;0;;101;154;8 520;;4 479;740;2 856;10 241;0;
9;10;0x0000000I64X;10;P;00:00:00:400;11054;23;;;;;38.627959;;88 432;187;0;4 111;0;;1 958;3 041;15 162;;7 081;169;6 559;48 713;0;
10;9;0x0000000I64X;9;B;00:00:00:360;4482;25;;;;;38.546313;;35 856;705;0;4 825;0;;63;125;8 967;;4 797;793;3 084;11 353;0;
11;12;0x0000000I64X;12;P;00:00:00:480;11903;23;;;;;38.223488;;95 224;188;0;4 080;0;;1 590;2 668;15 978;;7 356;151;6 873;54 963;0;
12;11;0x0000000I64X;11;B;00:00:00:440;4534;25;;;;;38.691793;;36 272;603;0;5 001;0;;82;136;9 202;;4 954;808;3 190;11 176;0;
13;14;0x0000000I64X;14;P;00:00:00:560;12413;23;;;;;38.591391;;99 304;163;0;4 176;0;;2 157;3 349;15 772;;7 244;219;6 663;58 033;0;
14;13;0x0000000I64X;13;B;00:00:00:520;4550;25;;;;;38.570297;;36 400;592;0;4 867;0;;81;136;8 996;;5 092;857;3 201;11 454;0;
15;16;0x0000000I64X;16;P;00:00:00:640;13837;24;;;;;37.349328;;110 696;112;0;4 618;0;;2 228;3 622;17 324;;7 247;224;6 916;66 986;0;
16;15;0x0000000I64X;15;B;00:00:00:600;4346;26;;;;;38.280886;;34 768;710;0;4 542;0;;84;145;8 804;;4 838;837;3 252;10 416;0;
17;18;0x0000000I64X;18;P;00:00:00:720;10576;25;;;;;37.570450;;84 608;222;0;4 182;0;;1 752;2 833;15 751;;6 900;161;6 490;44 868;0;
18;17;0x0000000I64X;17;B;00:00:00:680;3932;26;;;;;37.518831;;31 456;718;0;4 318;0;;21;82;8 385;;4 334;708;2 855;8 915;0;
