stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;62092;24;;;;;36.601075;;496 736;0;0;2 488;0;;17 119;33 526;0;;0;1 337;6 565;423 782;0;
1;4;0x0000000I64X;8;P;00:00:00:133;11819;25;;;;;32.677712;;94 552;568;0;3 268;0;;387;625;12 298;;3 696;108;3 287;69 023;0;
2;2;0x0000000I64X;4;B;00:00:00:066;2477;30;;;;;34.686167;;19 816;487;0;4 331;0;;27;29;9 254;;1 209;116;409;3 026;0;
3;1;0x0000000I64X;2;B;00:00:00:033;1389;30;;;;;36.601674;;11 112;357;0;2 465;0;;11;9;5 767;;748;48;128;833;0;
4;3;0x0000000I64X;6;B;00:00:00:100;790;33;;;;;35.307983;;6 320;1 041;0;1 290;0;;5;1;2 812;;187;7;27;57;0;
5;6;0x0000000I64X;12;P;00:00:00:200;10710;25;;;;;34.290890;;85 680;672;0;2 748;0;;289;433;13 924;;3 859;65;2 921;59 447;0;
6;5;0x0000000I64X;10;B;00:00:00:166;1246;30;;;;;36.298823;;9 968;844;0;2 677;0;;9;8;4 131;;459;32;150;640;0;
7;10;0x0000000I64X;20;P;00:00:00:333;14380;27;;;;;32.481901;;115 040;369;0;4 171;0;;1 087;1 630;20 081;;4 083;198;4 109;77 718;0;
8;8;0x0000000I64X;16;B;00:00:00:266;4115;29;;;;;34.477540;;32 920;278;0;5 633;0;;147;229;13 217;;2 522;326;1 320;8 528;0;
9;7;0x0000000I64X;14;B;00:00:00:233;1813;28;;;;;34.690059;;14 504;407;0;3 533;0;;17;26;7 868;;724;38;290;859;0;
10;9;0x0000000I64X;18;B;00:00:00:300;1411;32;;;;;34.734349;;11 288;984;0;2 132;0;;7;13;5 315;;502;28;254;990;0;
11;12;0x0000000I64X;24;P;00:00:00:400;10042;27;;;;;34.935180;;80 336;495;0;3 796;0;;852;1 103;15 661;;3 971;173;3 620;49 120;0;
12;11;0x0000000I64X;22;B;00:00:00:366;2191;28;;;;;35.025094;;17 528;415;0;4 091;0;;63;74;9 302;;881;55;527;1 314;0;
13;14;0x0000000I64X;28;P;00:00:00:466;11089;28;;;;;34.629343;;88 712;379;0;4 308;0;;1 103;1 640;16 386;;4 184;217;4 227;54 556;0;
14;13;0x0000000I64X;26;B;00:00:00:433;2366;29;;;;;34.792003;;18 928;396;0;4 436;0;;54;85;9 750;;1 039;92;541;1 795;0;
15;16;0x0000000I64X;32;P;00:00:00:533;10618;28;;;;;34.208432;;84 944;343;0;4 436;0;;1 014;1 479;17 692;;4 253;212;4 216;49 602;0;
16;15;0x0000000I64X;30;B;00:00:00:500;2324;29;;;;;34.653209;;18 592;481;0;4 369;0;;57;94;9 611;;915;74;516;1 589;0;
17;18;0x0000000I64X;36;P;00:00:00:600;10937;27;;;;;34.142717;;87 496;288;0;4 921;0;;1 728;2 605;17 885;;4 258;275;5 255;48 270;0;
