name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:09:833;
epsnr;40.59;
frames;
  count;295;
    I;2 (0.67%);
    P;104 (35.25%);
    B;189 (64.06%);
  size (byte) / encode ratio (avg);3394 / 229;
    I;18 616 / 41;
    P;6 112 / 127;
    B;1 738 / 447;
bit allocation;
  max;970 560;
  avg;823 920;
  min;752 160;
qp;
  qp min;4;
  qp avg;24.55;
  qp max;36;
distribution (bits);
    total;27 159 (100.00%);
    mb_skip;770 (2.84%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;2 433 (8.96%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;384 (1.42%);
    pred_mode;871 (3.21%);
    inter_prediction;8 278 (30.48%);
transform;
    coded_block_pattern;2 384 (8.78%);
    transform_size_8x8_flag;71 (0.26%);
    mb_qp_delta;1 683 (6.20%);
    transform;8 798 (32.40%);
    pcm_data;0 (0.00%);
