stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;11891;22;;;;;43.131370;;95 128;0;0;4 172;0;;6 441;13 567;0;;0;535;4 449;53 397;0;
1;2;0x0000000I64X;4;P;00:00:00:066;4648;22;;;;;38.271713;;37 184;611;0;2 765;0;;249;561;8 281;;4 338;41;2 665;16 249;0;
2;1;0x0000000I64X;2;B;00:00:00:033;1711;26;;;;;43.325444;;13 688;897;0;1 674;0;;28;41;3 554;;1 740;85;832;3 797;0;
3;6;0x0000000I64X;12;P;00:00:00:200;5513;23;;;;;43.149196;;44 104;621;0;2 595;0;;184;571;11 119;;5 111;20;2 988;19 520;0;
4;4;0x0000000I64X;8;B;00:00:00:133;1910;24;;;;;41.216874;;15 280;852;0;1 820;0;;23;43;5 231;;2 002;60;630;3 504;0;
5;3;0x0000000I64X;6;B;00:00:00:100;2015;24;;;;;42.788994;;16 120;671;0;2 348;0;;17;41;6 643;;1 868;42;695;2 753;0;
6;5;0x0000000I64X;10;B;00:00:00:166;1084;23;;;;;41.529759;;8 672;1 009;0;965;0;;0;5;2 365;;1 053;19;390;1 824;0;
7;10;0x0000000I64X;20;P;00:00:00:333;4661;22;;;;;40.674120;;37 288;644;0;2 462;0;;140;439;11 949;;4 699;19;2 499;13 110;0;
8;8;0x0000000I64X;16;B;00:00:00:266;1933;23;;;;;42.215749;;15 464;809;0;1 906;0;;14;25;5 016;;1 784;47;919;3 878;0;
9;7;0x0000000I64X;14;B;00:00:00:233;1743;24;;;;;43.647523;;13 944;653;0;1 900;0;;10;18;5 500;;1 605;29;539;2 640;0;
