stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;19634;24;;;;;40.930055;;157 072;0;0;3 272;0;;12 122;21 250;0;;0;1 306;1 849;111 208;0;
1;1;0x0000000I64X;1;P;00:00:00:040;4110;25;;;;;38.946538;;32 880;533;0;1 627;0;;241;529;6 577;;5 480;53;3 223;13 544;0;
2;2;0x0000000I64X;2;P;00:00:00:080;4959;24;;;;;40.072459;;39 672;444;0;1 476;0;;96;262;6 513;;6 630;26;3 825;19 621;0;
3;4;0x0000000I64X;4;P;00:00:00:160;11715;21;;;;;35.018170;;93 720;274;0;1 920;0;;179;388;7 976;;6 535;39;4 682;71 062;0;
4;3;0x0000000I64X;3;B;00:00:00:120;850;27;;;;;41.865703;;6 800;962;0;1 021;0;;3;7;1 396;;999;139;536;935;0;
5;6;0x0000000I64X;6;P;00:00:00:240;22247;19;;;;;39.811924;;177 976;113;0;3 965;0;;866;1 698;15 690;;5 575;108;5 591;143 556;0;
6;5;0x0000000I64X;5;B;00:00:00:200;2933;23;;;;;43.431180;;23 464;695;0;2 783;0;;43;96;3 204;;4 806;855;1 770;8 179;0;
7;8;0x0000000I64X;8;P;00:00:00:320;15925;19;;;;;40.852585;;127 400;150;0;4 532;0;;3 262;6 154;14 060;;6 373;285;5 228;85 797;0;
8;7;0x0000000I64X;7;B;00:00:00:280;5267;22;;;;;43.232157;;42 136;446;0;3 970;0;;81;151;5 079;;7 052;1 209;2 461;20 845;0;
9;10;0x0000000I64X;10;P;00:00:00:400;13646;20;;;;;40.067573;;109 168;169;0;4 377;0;;3 420;6 128;13 679;;6 377;318;4 937;67 943;0;
10;9;0x0000000I64X;9;B;00:00:00:360;4352;23;;;;;42.659801;;34 816;595;0;3 645;0;;77;142;5 437;;5 992;1 084;2 314;14 550;0;
11;12;0x0000000I64X;12;P;00:00:00:480;14680;20;;;;;39.997514;;117 440;145;0;4 135;0;;7 326;13 444;11 806;;5 026;690;4 348;66 982;0;
12;11;0x0000000I64X;11;B;00:00:00:440;4166;23;;;;;42.384712;;33 328;624;0;3 703;0;;191;297;5 510;;6 125;1 102;2 146;12 597;0;
13;14;0x0000000I64X;14;P;00:00:00:560;10193;21;;;;;39.944158;;81 544;205;0;4 057;0;;3 345;5 723;9 777;;5 714;456;3 801;45 670;0;
14;13;0x0000000I64X;13;B;00:00:00:520;4642;23;;;;;41.415106;;37 136;537;0;4 450;0;;319;584;6 714;;6 234;1 136;1 833;14 250;0;
15;16;0x0000000I64X;16;P;00:00:00:640;12425;20;;;;;40.023064;;99 400;98;0;4 405;0;;5 783;10 630;11 607;;4 829;735;3 906;53 104;0;
16;15;0x0000000I64X;15;B;00:00:00:600;6065;23;;;;;42.090183;;48 520;403;0;4 403;0;;99;212;7 784;;7 587;1 345;2 623;23 351;0;
17;18;0x0000000I64X;18;P;00:00:00:720;9005;21;;;;;39.982583;;72 040;158;0;3 939;0;;2 799;5 402;9 811;;5 675;406;3 481;37 265;0;
18;17;0x0000000I64X;17;B;00:00:00:680;4480;23;;;;;42.283386;;35 840;481;0;5 101;0;;334;734;7 563;;6 165;1 070;1 622;11 642;0;
19;20;0x0000000I64X;20;P;00:00:00:800;12189;20;;;;;39.148516;;97 512;91;0;4 117;0;;8 097;15 004;9 226;;3 351;969;3 083;47 778;0;
20;19;0x0000000I64X;19;B;00:00:00:760;5251;23;;;;;42.433893;;42 008;450;0;6 040;0;;834;1 671;8 613;;5 838;1 104;1 782;14 110;0;
21;22;0x0000000I64X;22;P;00:00:00:880;12382;20;;;;;41.212248;;99 056;107;0;3 963;0;;7 001;13 074;11 616;;4 185;879;3 523;49 717;0;
22;21;0x0000000I64X;21;B;00:00:00:840;5888;22;;;;;42.347903;;47 104;374;0;5 230;0;;537;1 018;7 977;;7 158;1 346;1 658;20 615;0;
23;24;0x0000000I64X;24;P;00:00:00:960;12854;20;;;;;40.290984;;102 832;96;0;3 893;0;;6 337;11 518;12 624;;5 283;732;3 696;54 771;0;
24;23;0x0000000I64X;23;B;00:00:00:920;4501;23;;;;;42.886573;;36 008;524;0;4 587;0;;344;647;7 701;;5 899;1 083;1 330;12 774;0;
25;26;0x0000000I64X;26;P;00:00:01:040;13678;20;;;;;41.154797;;109 424;108;0;3 734;0;;7 464;13 844;12 421;;4 852;776;3 826;58 308;0;
26;25;0x0000000I64X;25;B;00:00:01:000;4068;23;;;;;42.509757;;32 544;532;0;4 302;0;;341;617;7 179;;5 594;1 031;1 350;10 338;0;
27;28;0x0000000I64X;28;P;00:00:01:120;15045;20;;;;;40.644362;;120 360;102;0;4 238;0;;6 646;12 249;13 552;;4 964;657;4 498;69 980;0;
28;27;0x0000000I64X;27;B;00:00:01:080;4859;23;;;;;42.026768;;38 872;480;0;4 021;0;;125;221;7 019;;6 671;1 204;1 945;16 347;0;
