name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;25;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:11:560;
epsnr;35.72;
frames;
  count;289;
    I;1 (0.34%);
    P;148 (51.21%);
    B;140 (48.44%);
  size (byte) / encode ratio (avg);8393 / 92;
    I;35 279 / 22;
    P;12 421 / 62;
    B;3 942 / 197;
bit allocation;
  max;1 778 200;
  avg;1 667 800;
  min;1 511 200;
qp;
  qp min;20;
  qp avg;28.21;
  qp max;44;
distribution (bits);
    total;67 144 (100.00%);
    mb_skip;461 (0.69%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;4 205 (6.26%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;2 196 (3.27%);
    pred_mode;3 985 (5.94%);
    inter_prediction;11 793 (17.56%);
transform;
    coded_block_pattern;5 371 (8.00%);
    transform_size_8x8_flag;511 (0.76%);
    mb_qp_delta;5 743 (8.55%);
    transform;30 983 (46.15%);
    pcm_data;0 (0.00%);
