stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;25269;21;;;;;40.876657;;202 152;0;0;3 449;0;;11 267;18 246;0;;0;1 056;6 239;150 056;0;
1;4;0x0000000I64X;8;P;00:00:00:133;6724;22;;;;;36.826290;;53 792;637;0;3 019;0;;326;680;10 111;;4 313;61;4 041;29 135;0;
2;2;0x0000000I64X;4;B;00:00:00:066;2351;23;;;;;40.604417;;18 808;634;0;3 224;0;;31;73;8 287;;1 439;61;1 122;2 893;0;
3;1;0x0000000I64X;2;B;00:00:00:033;1409;26;;;;;41.086128;;11 272;633;0;2 124;0;;36;56;5 331;;687;38;406;922;0;
4;3;0x0000000I64X;6;B;00:00:00:100;922;26;;;;;37.128208;;7 376;1 023;0;1 326;0;;4;22;2 925;;383;8;236;474;0;
5;8;0x0000000I64X;16;P;00:00:00:266;6478;22;;;;;40.156896;;51 824;434;0;3 625;0;;547;1 169;11 370;;4 121;75;4 500;24 177;0;
6;6;0x0000000I64X;12;B;00:00:00:200;2290;24;;;;;40.291111;;18 320;670;0;2 844;0;;45;128;7 270;;1 633;59;1 362;3 154;0;
7;5;0x0000000I64X;10;B;00:00:00:166;1609;24;;;;;41.229762;;12 872;708;0;2 117;0;;16;36;6 073;;1 055;12;653;1 119;0;
8;7;0x0000000I64X;14;B;00:00:00:233;1378;24;;;;;40.226903;;11 024;968;0;1 885;0;;32;65;3 775;;889;12;758;1 491;0;
9;12;0x0000000I64X;24;P;00:00:00:400;4528;23;;;;;41.403237;;36 224;730;0;2 846;0;;392;787;10 431;;2 893;57;2 999;13 431;0;
10;10;0x0000000I64X;20;B;00:00:00:333;1787;24;;;;;40.217399;;14 296;731;0;2 554;0;;55;93;6 402;;1 066;38;763;1 530;0;
11;9;0x0000000I64X;18;B;00:00:00:300;1737;24;;;;;41.170204;;13 896;679;0;2 180;0;;10;12;5 206;;1 308;8;1 291;2 093;0;
12;11;0x0000000I64X;22;B;00:00:00:366;1202;23;;;;;40.843476;;9 616;1 006;0;1 521;0;;9;32;2 982;;787;9;724;1 448;0;
13;16;0x0000000I64X;32;P;00:00:00:533;6828;23;;;;;39.559617;;54 624;562;0;3 695;0;;1 485;2 345;12 229;;2 924;210;4 068;24 952;0;
14;14;0x0000000I64X;28;B;00:00:00:466;2488;24;;;;;39.049402;;19 904;699;0;2 566;0;;40;75;7 430;;1 780;85;1 543;4 546;0;
15;13;0x0000000I64X;26;B;00:00:00:433;1906;24;;;;;39.427720;;15 248;750;0;2 496;0;;22;49;6 303;;1 288;30;1 144;2 020;0;
16;15;0x0000000I64X;30;B;00:00:00:500;1550;24;;;;;39.101723;;12 400;1 030;0;2 091;0;;22;48;4 222;;935;29;927;2 030;0;
17;18;0x0000000I64X;36;P;00:00:00:600;6721;24;;;;;39.508700;;53 768;696;0;3 240;0;;1 205;2 135;11 819;;3 206;175;3 918;25 223;0;
18;17;0x0000000I64X;34;B;00:00:00:566;2038;24;;;;;39.049307;;16 304;803;0;3 005;0;;27;50;6 627;;1 187;31;1 241;2 176;0;
19;20;0x0000000I64X;40;P;00:00:00:666;7491;23;;;;;40.113950;;59 928;452;0;4 086;0;;1 581;2 979;11 963;;3 351;184;4 717;28 018;0;
20;19;0x0000000I64X;38;B;00:00:00:633;2051;24;;;;;39.981348;;16 408;826;0;3 079;0;;90;156;6 504;;1 240;37;1 172;2 097;0;
21;22;0x0000000I64X;44;P;00:00:00:733;6031;23;;;;;39.319413;;48 248;513;0;3 721;0;;1 062;1 926;12 324;;3 370;135;4 124;18 862;0;
22;21;0x0000000I64X;42;B;00:00:00:700;1650;24;;;;;40.462034;;13 200;914;0;2 352;0;;49;88;5 197;;976;33;794;1 629;0;
23;24;0x0000000I64X;48;P;00:00:00:800;6741;23;;;;;40.119732;;53 928;447;0;4 306;0;;1 485;3 037;12 670;;3 317;166;4 435;21 554;0;
24;23;0x0000000I64X;46;B;00:00:00:766;2285;24;;;;;40.658393;;18 280;776;0;3 293;0;;46;130;8 085;;1 368;36;1 286;2 097;0;
25;26;0x0000000I64X;52;P;00:00:00:866;5688;23;;;;;41.453405;;45 504;313;0;4 769;0;;1 643;3 074;12 337;;3 155;128;4 134;13 418;0;
26;25;0x0000000I64X;50;B;00:00:00:833;2709;23;;;;;41.545928;;21 672;604;0;3 861;0;;122;298;9 640;;1 693;36;1 481;2 742;0;
27;27;0x0000000I64X;54;P;00:00:00:900;4787;23;;;;;41.940775;;38 296;430;0;3 997;0;;784;1 645;12 580;;3 290;58;3 767;9 949;0;
28;28;0x0000000I64X;56;P;00:00:00:933;4548;22;;;;;42.315542;;36 384;537;0;3 678;0;;884;1 705;11 245;;2 639;80;3 321;10 081;0;
29;30;0x0000000I64X;60;P;00:00:01:000;5711;23;;;;;42.697667;;45 688;242;0;4 913;0;;1 364;2 935;12 451;;3 161;95;4 610;13 532;0;
30;29;0x0000000I64X;58;B;00:00:00:966;2605;22;;;;;41.928408;;20 840;695;0;3 181;0;;93;188;7 292;;2 168;46;2 019;4 016;0;
31;34;0x0000000I64X;68;P;00:00:01:133;7470;23;;;;;40.919144;;59 760;90;0;6 026;0;;2 432;5 609;9 080;;2 715;197;5 499;25 272;0;
32;32;0x0000000I64X;64;B;00:00:01:066;3858;23;;;;;40.893013;;30 864;770;0;4 684;0;;358;672;9 787;;2 596;160;2 660;7 600;0;
33;31;0x0000000I64X;62;B;00:00:01:033;2505;22;;;;;41.221387;;20 040;849;0;3 330;0;;172;348;5 589;;1 537;65;2 363;4 426;0;
34;33;0x0000000I64X;66;B;00:00:01:100;2030;23;;;;;42.237051;;16 240;1 002;0;2 331;0;;61;115;5 816;;1 308;47;1 281;3 134;0;
35;35;0x0000000I64X;70;P;00:00:01:166;4115;22;;;;;42.863250;;32 920;608;0;3 380;0;;564;1 132;10 840;;2 604;58;3 204;8 604;0;
