name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:15:066;
epsnr;38.07;
frames;
  count;452;
    I;2 (0.44%);
    P;222 (49.11%);
    B;228 (50.44%);
  size (byte) / encode ratio (avg);5457 / 142;
    I;26 338 / 29;
    P;9 143 / 85;
    B;1 684 / 461;
bit allocation;
  max;1 501 736;
  avg;1 241 664;
  min;1 024 048;
qp;
  qp min;5;
  qp avg;26.53;
  qp max;43;
distribution (bits);
    total;43 658 (100.00%);
    mb_skip;663 (1.52%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;2 883 (6.60%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;695 (1.59%);
    pred_mode;1 535 (3.52%);
    inter_prediction;9 519 (21.80%);
transform;
    coded_block_pattern;3 032 (6.95%);
    transform_size_8x8_flag;107 (0.25%);
    mb_qp_delta;2 787 (6.38%);
    transform;20 891 (47.85%);
    pcm_data;0 (0.00%);
