name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:12:333;
epsnr [256];37.78;
frames;
  count;370;
    I;2 (0.54%);
    P;162 (43.78%);
    B;206 (55.67%);
  size (byte) / encode ratio (avg);5783 / 134;
    I;50 396 / 15;
    P;10 721 / 72;
    B;1 466 / 530;
bit allocation;
  max;1 807 200;
  avg;1 362 000;
  min;1 100 880;
qp [0-257];
  qp min;5;
  qp avg;26.58;
  qp max;38;
distribution (bits);
    total;45 510 (100.00%);
    mb_skip;712 (1.57%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;2 566 (5.64%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;496 (1.09%);
    pred_mode;1 034 (2.27%);
    inter_prediction;8 686 (19.09%);
transform;
    coded_block_pattern;2 863 (6.29%);
    transform_size_8x8_flag;82 (0.18%);
    mb_qp_delta;2 512 (5.52%);
    transform;25 221 (55.42%);
    pcm_data;0 (0.00%);
