stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;20539;20;;;;;42.236847;;164 312;0;0;2 422;0;;10 376;16 249;0;;0;1 138;5 278;116 708;0;
1;1;0x0000000I64X;2;P;00:00:00:033;338;20;;;;;43.791515;;2 704;543;0;301;0;;66;101;828;;125;9;141;241;0;
2;4;0x0000000I64X;8;P;00:00:00:133;3606;21;;;;;41.460838;;28 848;799;0;2 320;0;;146;425;9 183;;2 828;51;2 779;8 851;0;
3;2;0x0000000I64X;4;B;00:00:00:066;912;20;;;;;44.127043;;7 296;735;0;1 036;0;;36;46;2 250;;859;15;503;724;0;
4;3;0x0000000I64X;6;B;00:00:00:100;905;22;;;;;44.648888;;7 240;1 009;0;1 199;0;;17;22;2 827;;461;9;313;476;0;
5;8;0x0000000I64X;16;P;00:00:00:266;3902;22;;;;;41.490301;;31 216;804;0;2 748;0;;351;708;9 822;;2 698;45;2 307;10 148;0;
6;6;0x0000000I64X;12;B;00:00:00:200;1347;24;;;;;40.412647;;10 776;913;0;1 950;0;;27;71;4 699;;713;22;409;893;0;
7;5;0x0000000I64X;10;B;00:00:00:166;1698;23;;;;;43.116360;;13 584;757;0;2 462;0;;17;47;5 575;;1 125;9;917;1 556;0;
8;7;0x0000000I64X;14;B;00:00:00:233;857;22;;;;;41.350406;;6 856;1 040;0;1 069;0;;16;24;2 851;;368;6;182;378;0;
9;12;0x0000000I64X;24;P;00:00:00:400;4251;22;;;;;38.589044;;34 008;752;0;3 027;0;;694;1 263;11 473;;2 394;69;2 146;10 362;0;
10;10;0x0000000I64X;20;B;00:00:00:333;1849;23;;;;;40.961009;;14 792;757;0;2 331;0;;77;130;7 250;;1 047;35;708;1 436;0;
11;9;0x0000000I64X;18;B;00:00:00:300;1300;24;;;;;43.153986;;10 400;914;0;1 736;0;;12;19;4 645;;764;12;418;722;0;
12;11;0x0000000I64X;22;B;00:00:00:366;1176;24;;;;;40.500458;;9 408;1 040;0;1 572;0;;27;44;3 698;;548;23;446;997;0;
13;14;0x0000000I64X;28;P;00:00:00:466;4185;22;;;;;40.551955;;33 480;764;0;3 105;0;;735;1 266;10 279;;2 244;91;2 422;10 721;0;
14;13;0x0000000I64X;26;B;00:00:00:433;1641;23;;;;;41.849353;;13 128;794;0;2 338;0;;26;62;5 877;;907;32;717;1 298;0;
15;16;0x0000000I64X;32;P;00:00:00:533;4926;22;;;;;40.548070;;39 408;684;0;3 291;0;;938;1 639;11 788;;2 779;98;2 930;13 258;0;
16;15;0x0000000I64X;30;B;00:00:00:500;1703;23;;;;;41.929406;;13 624;920;0;2 452;0;;32;75;4 965;;1 106;25;1 050;1 818;0;
17;20;0x0000000I64X;40;P;00:00:00:666;7249;22;;;;;40.155639;;57 992;373;0;4 469;0;;1 614;3 339;13 077;;3 319;186;4 266;25 049;0;
18;18;0x0000000I64X;36;B;00:00:00:600;2680;23;;;;;40.825394;;21 440;792;0;3 977;0;;142;282;9 110;;1 466;84;1 333;3 034;0;
19;17;0x0000000I64X;34;B;00:00:00:566;2115;23;;;;;41.411526;;16 920;699;0;3 317;0;;43;124;6 541;;1 308;31;1 317;2 376;0;
20;19;0x0000000I64X;38;B;00:00:00:633;1753;23;;;;;40.141421;;14 024;987;0;2 464;0;;34;111;5 049;;1 131;46;1 021;2 006;0;
21;22;0x0000000I64X;44;P;00:00:00:733;4739;22;;;;;41.612613;;37 912;589;0;3 323;0;;1 099;1 784;11 805;;2 733;109;2 808;11 499;0;
22;21;0x0000000I64X;42;B;00:00:00:700;1703;23;;;;;42.494190;;13 624;830;0;2 513;0;;63;143;4 984;;1 101;32;987;1 814;0;
23;24;0x0000000I64X;48;P;00:00:00:800;5125;22;;;;;40.488223;;41 000;614;0;3 592;0;;1 067;1 844;12 099;;2 826;136;2 998;13 894;0;
24;23;0x0000000I64X;46;B;00:00:00:766;1685;23;;;;;42.085893;;13 480;815;0;2 419;0;;21;75;5 065;;1 088;36;962;1 905;0;
25;26;0x0000000I64X;52;P;00:00:00:866;5527;23;;;;;40.462423;;44 216;636;0;3 232;0;;975;1 713;11 989;;2 985;121;3 250;17 480;0;
26;25;0x0000000I64X;50;B;00:00:00:833;1625;23;;;;;41.371079;;13 000;773;0;2 176;0;;39;82;5 232;;1 034;32;787;1 742;0;
27;28;0x0000000I64X;56;P;00:00:00:933;5613;22;;;;;40.424747;;44 904;590;0;3 669;0;;811;1 607;10 075;;3 061;120;3 894;19 344;0;
28;27;0x0000000I64X;54;B;00:00:00:900;1571;23;;;;;41.418430;;12 568;836;0;1 995;0;;20;38;4 676;;1 024;20;911;1 946;0;
29;32;0x0000000I64X;64;P;00:00:01:066;3718;22;;;;;41.890529;;29 744;645;0;3 119;0;;690;1 324;10 113;;2 017;83;2 323;7 539;0;
30;30;0x0000000I64X;60;B;00:00:01:000;2234;22;;;;;41.314067;;17 872;636;0;2 809;0;;101;162;7 690;;1 469;70;1 322;2 543;0;
31;29;0x0000000I64X;58;B;00:00:00:966;1788;22;;;;;42.596797;;14 304;644;0;2 657;0;;29;67;5 613;;1 298;15;1 092;1 837;0;
32;31;0x0000000I64X;62;B;00:00:01:033;1514;22;;;;;43.204825;;12 112;943;0;2 307;0;;51;105;4 092;;907;15;872;1 614;0;
33;34;0x0000000I64X;68;P;00:00:01:133;3708;22;;;;;39.630861;;29 664;750;0;2 975;0;;592;1 247;9 836;;1 543;67;1 920;8 921;0;
34;33;0x0000000I64X;66;B;00:00:01:100;1888;23;;;;;42.326611;;15 104;940;0;2 649;0;;56;158;5 295;;1 074;44;1 204;2 477;0;
35;36;0x0000000I64X;72;P;00:00:01:200;6059;24;;;;;38.732722;;48 472;676;0;3 626;0;;1 690;3 179;9 909;;2 164;198;3 007;21 531;0;
36;35;0x0000000I64X;70;B;00:00:01:166;1822;24;;;;;40.376486;;14 576;1 005;0;2 576;0;;72;143;5 246;;1 013;51;972;2 281;0;
37;37;0x0000000I64X;74;P;00:00:01:233;4302;23;;;;;41.392835;;34 416;713;0;3 281;0;;784;1 433;9 203;;2 518;79;2 784;11 540;0;
38;38;0x0000000I64X;76;P;00:00:01:266;3833;22;;;;;42.515574;;30 664;650;0;3 633;0;;852;1 617;8 622;;2 053;68;2 708;8 340;0;
39;39;0x0000000I64X;78;P;00:00:01:300;4075;23;;;;;41.950587;;32 600;636;0;3 120;0;;505;1 194;10 177;;2 748;48;2 996;9 370;0;
40;40;0x0000000I64X;80;P;00:00:01:333;4040;22;;;;;43.047926;;32 320;649;0;3 346;0;;612;1 440;9 997;;2 328;81;2 442;9 509;0;
41;41;0x0000000I64X;82;P;00:00:01:366;4350;22;;;;;42.809454;;34 800;648;0;3 342;0;;544;1 112;11 065;;3 020;53;2 959;10 328;0;
42;42;0x0000000I64X;84;P;00:00:01:400;4576;22;;;;;43.429583;;36 608;630;0;3 491;0;;771;1 453;11 371;;2 685;61;2 623;11 516;0;
43;44;0x0000000I64X;88;P;00:00:01:466;5653;22;;;;;41.276208;;45 224;530;0;3 851;0;;1 147;2 105;13 019;;3 329;123;3 376;15 469;0;
44;43;0x0000000I64X;86;B;00:00:01:433;1823;23;;;;;42.692268;;14 584;1 002;0;2 570;0;;80;176;6 017;;941;31;941;1 629;0;
45;46;0x0000000I64X;92;P;00:00:01:533;6111;23;;;;;41.120719;;48 888;518;0;3 840;0;;1 043;2 032;12 880;;3 647;92;3 883;18 782;0;
46;45;0x0000000I64X;90;B;00:00:01:500;1759;23;;;;;41.316984;;14 072;976;0;2 434;0;;100;197;5 227;;956;35;961;1 957;0;
47;48;0x0000000I64X;96;P;00:00:01:600;6319;23;;;;;40.654608;;50 552;558;0;3 881;0;;896;1 576;12 249;;3 503;92;3 794;22 035;0;
48;47;0x0000000I64X;94;B;00:00:01:566;1737;24;;;;;41.677776;;13 896;1 024;0;2 337;0;;36;96;5 628;;910;40;812;1 847;0;
49;50;0x0000000I64X;100;P;00:00:01:666;6690;22;;;;;40.354320;;53 520;577;0;3 610;0;;785;1 479;12 088;;3 513;81;3 778;25 621;0;
50;49;0x0000000I64X;98;B;00:00:01:633;1469;24;;;;;41.471125;;11 752;1 008;0;1 942;0;;57;103;4 599;;825;32;675;1 487;0;
51;52;0x0000000I64X;104;P;00:00:01:733;6056;22;;;;;40.334220;;48 448;589;0;3 354;0;;647;1 138;10 673;;3 388;90;3 754;22 923;0;
52;51;0x0000000I64X;102;B;00:00:01:700;1502;23;;;;;41.834269;;12 016;988;0;2 116;0;;61;121;4 022;;922;26;852;1 757;0;
53;56;0x0000000I64X;112;P;00:00:01:866;4699;22;;;;;41.102920;;37 592;526;0;3 430;0;;802;1 536;11 178;;3 175;57;3 051;11 837;0;
54;54;0x0000000I64X;108;B;00:00:01:800;1993;22;;;;;41.543761;;15 944;989;0;2 462;0;;64;159;6 025;;1 207;76;892;2 861;0;
55;53;0x0000000I64X;106;B;00:00:01:766;1117;22;;;;;42.585664;;8 936;1 040;0;1 339;0;;20;44;2 814;;684;6;624;1 385;0;
56;55;0x0000000I64X;110;B;00:00:01:833;1350;23;;;;;43.322906;;10 800;1 012;0;1 906;0;;32;82;3 910;;814;20;691;1 206;0;
57;58;0x0000000I64X;116;P;00:00:01:933;4231;23;;;;;40.891760;;33 848;667;0;3 205;0;;919;1 599;11 329;;2 326;96;2 665;9 007;0;
58;57;0x0000000I64X;114;B;00:00:01:900;1624;23;;;;;42.443841;;12 992;1 003;0;2 225;0;;64;138;5 027;;950;28;775;1 660;0;
59;60;0x0000000I64X;120;P;00:00:02:000;4970;23;;;;;40.135582;;39 760;667;0;3 364;0;;1 246;1 988;10 646;;2 569;170;2 767;14 339;0;
60;59;0x0000000I64X;118;B;00:00:01:966;1710;23;;;;;41.330905;;13 680;1 005;0;2 391;0;;61;119;4 641;;932;40;1 007;2 354;0;
61;62;0x0000000I64X;124;P;00:00:02:066;5689;23;;;;;40.286027;;45 512;565;0;3 593;0;;1 499;2 671;11 630;;2 770;194;3 148;17 233;0;
62;61;0x0000000I64X;122;B;00:00:02:033;1769;24;;;;;41.602801;;14 152;1 003;0;2 454;0;;119;192;5 413;;978;69;803;1 933;0;
63;64;0x0000000I64X;128;P;00:00:02:133;5135;22;;;;;40.297818;;41 080;483;0;3 856;0;;1 226;2 226;11 358;;2 851;138;3 322;13 269;0;
64;63;0x0000000I64X;126;B;00:00:02:100;1799;23;;;;;42.199883;;14 392;975;0;2 409;0;;86;162;5 610;;1 049;40;980;1 914;0;
65;66;0x0000000I64X;132;P;00:00:02:200;4598;23;;;;;40.181920;;36 784;659;0;3 373;0;;963;1 751;11 151;;2 583;128;2 690;11 471;0;
66;65;0x0000000I64X;130;B;00:00:02:166;1903;23;;;;;42.195066;;15 224;926;0;2 665;0;;55;126;5 664;;1 138;35;1 194;2 192;0;
67;67;0x0000000I64X;134;P;00:00:02:233;3974;23;;;;;42.077173;;31 792;720;0;3 161;0;;492;1 054;9 311;;2 795;73;2 745;9 724;0;
68;68;0x0000000I64X;136;P;00:00:02:266;5317;23;;;;;42.272041;;42 536;194;0;4 450;0;;1 224;2 532;12 746;;3 007;112;3 527;12 780;0;
69;70;0x0000000I64X;140;P;00:00:02:333;6300;22;;;;;39.014738;;50 400;346;0;4 641;0;;1 444;2 717;12 052;;3 203;160;4 210;19 489;0;
70;69;0x0000000I64X;138;B;00:00:02:300;1879;24;;;;;42.254277;;15 032;946;0;2 744;0;;39;187;5 187;;1 089;35;1 342;2 275;0;
71;72;0x0000000I64X;144;P;00:00:02:400;5959;22;;;;;39.780145;;47 672;590;0;3 475;0;;1 169;2 085;11 917;;3 273;126;3 654;19 220;0;
72;71;0x0000000I64X;142;B;00:00:02:366;1884;24;;;;;41.805288;;15 072;934;0;2 409;0;;92;150;5 578;;1 125;31;1 205;2 340;0;
73;74;0x0000000I64X;148;P;00:00:02:466;5742;22;;;;;40.572614;;45 936;579;0;3 246;0;;1 223;1 991;11 499;;3 444;175;3 430;18 287;0;
74;73;0x0000000I64X;146;B;00:00:02:433;1768;23;;;;;41.819658;;14 144;961;0;2 141;0;;32;97;4 700;;1 048;26;1 331;2 633;0;
75;76;0x0000000I64X;152;P;00:00:02:533;4916;22;;;;;41.570552;;39 328;581;0;3 413;0;;1 041;1 751;11 754;;2 978;125;3 049;12 642;0;
76;75;0x0000000I64X;150;B;00:00:02:500;1812;22;;;;;42.669396;;14 496;937;0;2 382;0;;47;105;4 768;;1 112;44;1 300;2 621;0;
77;78;0x0000000I64X;156;P;00:00:02:600;4579;22;;;;;40.786521;;36 632;647;0;3 275;0;;1 080;1 783;11 601;;2 855;107;2 985;10 265;0;
78;77;0x0000000I64X;154;B;00:00:02:566;1741;23;;;;;42.849870;;13 928;940;0;2 179;0;;24;59;4 876;;1 064;22;1 282;2 297;0;
79;80;0x0000000I64X;160;P;00:00:02:666;4914;22;;;;;40.569388;;39 312;574;0;3 487;0;;1 174;1 987;12 437;;2 966;141;3 139;11 271;0;
80;79;0x0000000I64X;158;B;00:00:02:633;1764;23;;;;;43.007769;;14 112;999;0;2 196;0;;71;150;4 726;;1 111;35;1 256;2 349;0;
81;82;0x0000000I64X;164;P;00:00:02:733;4805;23;;;;;41.133910;;38 440;644;0;3 450;0;;960;1 688;12 112;;3 072;112;2 950;11 373;0;
82;81;0x0000000I64X;162;B;00:00:02:700;1684;23;;;;;42.375555;;13 472;949;0;2 542;0;;120;213;4 991;;955;35;767;1 686;0;
83;84;0x0000000I64X;168;P;00:00:02:800;4970;22;;;;;41.585798;;39 760;713;0;3 150;0;;725;1 262;11 168;;2 966;90;2 971;14 936;0;
84;83;0x0000000I64X;166;B;00:00:02:766;1424;23;;;;;42.032414;;11 392;1 024;0;2 166;0;;38;113;3 821;;782;20;764;1 536;0;
85;88;0x0000000I64X;176;P;00:00:02:933;5753;23;;;;;41.965367;;46 024;500;0;3 566;0;;828;1 444;11 215;;3 249;108;3 797;19 426;0;
86;86;0x0000000I64X;172;B;00:00:02:866;1462;21;;;;;43.705339;;11 696;1 007;0;2 003;0;;80;138;3 912;;880;31;783;1 747;0;
87;85;0x0000000I64X;170;B;00:00:02:833;1338;23;;;;;40.722224;;10 704;1 017;0;1 582;0;;26;44;4 354;;743;16;648;1 214;0;
88;87;0x0000000I64X;174;B;00:00:02:900;1494;22;;;;;41.148616;;11 952;970;0;2 105;0;;26;84;3 978;;974;27;948;1 654;0;
89;90;0x0000000I64X;180;P;00:00:03:000;3147;22;;;;;41.156252;;25 176;817;0;2 667;0;;513;954;9 941;;1 731;69;1 902;4 906;0;
90;89;0x0000000I64X;178;B;00:00:02:966;1484;22;;;;;43.296868;;11 872;974;0;2 029;0;;63;121;4 437;;855;31;782;1 382;0;
91;92;0x0000000I64X;184;P;00:00:03:066;4536;23;;;;;40.868104;;36 288;716;0;3 111;0;;1 028;1 773;11 647;;2 104;118;2 576;11 173;0;
92;91;0x0000000I64X;182;B;00:00:03:033;1784;23;;;;;41.633259;;14 272;939;0;2 548;0;;85;178;5 330;;977;38;979;1 927;0;
93;94;0x0000000I64X;188;P;00:00:03:133;6063;23;;;;;40.956577;;48 504;615;0;3 694;0;;1 683;3 049;11 125;;2 295;193;3 146;20 355;0;
94;93;0x0000000I64X;186;B;00:00:03:100;1644;22;;;;;40.775616;;13 152;1 045;0;2 317;0;;51;132;5 246;;875;31;831;1 486;0;
95;96;0x0000000I64X;192;P;00:00:03:200;5688;23;;;;;40.139563;;45 504;525;0;4 003;0;;1 426;2 792;10 615;;2 397;150;3 579;17 540;0;
96;95;0x0000000I64X;190;B;00:00:03:166;1713;24;;;;;41.325974;;13 704;982;0;2 366;0;;70;145;5 455;;896;23;926;1 664;0;
97;98;0x0000000I64X;196;P;00:00:03:266;5139;23;;;;;39.976984;;41 112;544;0;3 751;0;;1 398;2 694;10 106;;2 393;155;3 220;14 430;0;
98;97;0x0000000I64X;194;B;00:00:03:233;2062;24;;;;;41.378642;;16 496;933;0;2 814;0;;159;298;6 233;;1 133;45;1 129;2 453;0;
99;99;0x0000000I64X;198;P;00:00:03:300;4144;23;;;;;42.360325;;33 152;634;0;3 410;0;;651;1 425;10 159;;2 657;78;2 913;9 343;0;
100;100;0x0000000I64X;200;P;00:00:03:333;4092;23;;;;;42.570613;;32 736;691;0;3 261;0;;831;1 683;10 291;;2 289;90;2 388;9 218;0;
101;101;0x0000000I64X;202;P;00:00:03:366;4247;23;;;;;42.673282;;33 976;653;0;3 431;0;;683;1 466;10 851;;2 654;67;2 522;9 824;0;
102;102;0x0000000I64X;204;P;00:00:03:400;4505;22;;;;;43.169829;;36 040;570;0;3 757;0;;969;1 730;11 316;;2 556;120;2 699;10 236;0;
103;104;0x0000000I64X;208;P;00:00:03:466;5925;23;;;;;42.249744;;47 400;457;0;4 123;0;;1 316;2 434;12 300;;3 143;111;3 457;17 566;0;
104;103;0x0000000I64X;206;B;00:00:03:433;1845;22;;;;;41.688482;;14 760;989;0;2 583;0;;80;184;6 086;;994;28;978;1 590;0;
105;106;0x0000000I64X;212;P;00:00:03:533;5896;23;;;;;41.371606;;47 168;566;0;3 792;0;;1 165;2 030;12 355;;3 574;115;3 832;17 491;0;
106;105;0x0000000I64X;210;B;00:00:03:500;1757;22;;;;;41.760309;;14 056;989;0;2 475;0;;68;201;5 723;;865;29;882;1 687;0;
107;108;0x0000000I64X;216;P;00:00:03:600;5482;23;;;;;40.340349;;43 856;563;0;3 652;0;;972;1 551;13 037;;3 479;86;3 202;15 189;0;
108;107;0x0000000I64X;214;B;00:00:03:566;1762;23;;;;;41.761857;;14 096;1 006;0;2 237;0;;62;107;5 667;;963;38;921;2 015;0;
109;109;0x0000000I64X;218;P;00:00:03:633;5554;22;;;;;42.548123;;44 432;501;0;3 688;0;;759;1 285;12 508;;3 668;47;3 819;16 211;0;
110;112;0x0000000I64X;224;P;00:00:03:733;5889;22;;;;;43.688036;;47 112;439;0;4 255;0;;1 116;1 997;12 999;;3 427;88;4 013;16 438;0;
111;110;0x0000000I64X;220;B;00:00:03:666;1762;22;;;;;43.098322;;14 096;942;0;2 707;0;;180;306;5 463;;820;32;868;1 519;0;
