name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:07:666;
epsnr;39.45;
frames;
  count;230;
    I;2 (0.86%);
    P;106 (46.08%);
    B;122 (53.04%);
  size (byte) / encode ratio (avg);4169 / 186;
    I;15 882 / 48;
    P;6 621 / 117;
    B;1 846 / 421;
bit allocation;
  max;1 187 376;
  avg;894 592;
  min;571 184;
qp;
  qp min;9;
  qp avg;24.72;
  qp max;42;
distribution (bits);
    total;33 356 (100.00%);
    mb_skip;693 (2.08%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;3 058 (9.17%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;744 (2.23%);
    pred_mode;1 657 (4.97%);
    inter_prediction;7 030 (21.08%);
transform;
    coded_block_pattern;1 918 (5.75%);
    transform_size_8x8_flag;94 (0.28%);
    mb_qp_delta;2 522 (7.56%);
    transform;13 960 (41.85%);
    pcm_data;0 (0.00%);
