name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:07:366;
epsnr [129];37.13;
frames;
  count;221;
    I;1 (0.45%);
    P;86 (38.91%);
    B;134 (60.63%);
  size (byte) / encode ratio (avg);6033 / 128;
    I;42 241 / 18;
    P;10 290 / 75;
    B;3 031 / 256;
bit allocation;
  max;1 764 360;
  avg;1 382 256;
  min;1 020 800;
qp [0-130];
  qp min;6;
  qp avg;27.61;
  qp max;43;
distribution (bits);
    total;53 801 (100.00%);
    mb_skip;547 (1.02%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;3 490 (6.49%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;1 348 (2.51%);
    pred_mode;3 056 (5.68%);
    inter_prediction;10 790 (20.06%);
transform;
    coded_block_pattern;3 147 (5.85%);
    transform_size_8x8_flag;209 (0.39%);
    mb_qp_delta;3 210 (5.97%);
    transform;25 862 (48.07%);
    pcm_data;0 (0.00%);
