stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;40911;25;;;;;38.172971;;327 288;0;0;1 989;0;;20 812;39 196;0;;0;912;5 327;253 151;0;
1;1;0x0000000I64X;1;P;00:00:00:040;3670;27;;;;;37.735871;;29 360;795;0;1 903;0;;156;381;6 945;;4 142;19;3 908;9 862;0;
2;2;0x0000000I64X;2;P;00:00:00:080;1823;30;;;;;34.538374;;14 584;907;0;1 181;0;;155;312;4 942;;1 471;22;1 529;3 021;0;
3;4;0x0000000I64X;4;P;00:00:00:160;8851;27;;;;;31.808963;;70 808;306;0;4 686;0;;1 570;2 869;15 354;;6 146;167;6 476;31 584;0;
4;3;0x0000000I64X;3;B;00:00:00:120;1447;32;;;;;36.039959;;11 576;929;0;1 914;0;;148;301;3 776;;907;124;953;1 663;0;
5;6;0x0000000I64X;6;P;00:00:00:240;16243;24;;;;;35.055757;;129 944;203;0;5 177;0;;2 206;4 040;17 589;;7 378;189;7 770;83 739;0;
6;5;0x0000000I64X;5;B;00:00:00:200;1126;29;;;;;37.790832;;9 008;991;0;1 581;0;;0;4;1 780;;1 285;150;1 105;1 177;0;
7;8;0x0000000I64X;8;P;00:00:00:320;16482;24;;;;;37.834516;;131 856;151;0;5 439;0;;2 980;5 691;19 188;;6 991;259;7 631;81 622;0;
8;7;0x0000000I64X;7;B;00:00:00:280;5422;26;;;;;37.994077;;43 376;572;0;4 665;0;;87;205;7 603;;6 290;1 039;4 465;17 354;0;
9;10;0x0000000I64X;10;P;00:00:00:400;9633;25;;;;;36.985159;;77 064;289;0;3 962;0;;1 088;1 968;14 630;;7 040;115;7 088;39 489;0;
10;9;0x0000000I64X;9;B;00:00:00:360;3333;27;;;;;37.878414;;26 664;868;0;3 492;0;;44;123;5 828;;4 154;614;3 109;7 263;0;
11;12;0x0000000I64X;12;P;00:00:00:480;11596;24;;;;;37.102912;;92 768;150;0;4 611;0;;1 731;3 162;16 090;;7 421;177;7 705;50 111;0;
12;11;0x0000000I64X;11;B;00:00:00:440;3617;27;;;;;38.630748;;28 936;792;0;3 990;0;;102;240;6 666;;4 332;651;3 183;7 768;0;
13;14;0x0000000I64X;14;P;00:00:00:560;13035;23;;;;;38.508409;;104 280;97;0;5 831;0;;2 320;4 503;17 999;;6 630;259;7 446;57 390;0;
14;13;0x0000000I64X;13;B;00:00:00:520;3998;26;;;;;39.464726;;31 984;673;0;4 354;0;;60;258;6 683;;5 361;770;3 622;9 066;0;
15;16;0x0000000I64X;16;P;00:00:00:640;11849;23;;;;;38.569359;;94 792;122;0;4 408;0;;1 937;3 356;15 884;;8 141;199;7 454;51 715;0;
16;15;0x0000000I64X;15;B;00:00:00:600;3421;26;;;;;39.430244;;27 368;866;0;3 904;0;;120;234;6 162;;4 285;649;2 858;7 079;0;
17;18;0x0000000I64X;18;P;00:00:00:720;14362;23;;;;;38.915205;;114 896;54;0;6 110;0;;4 136;7 489;18 247;;5 090;460;7 146;63 399;0;
