name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;25;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:17:840;
epsnr [129];39.21;
frames;
  count;446;
    I;1 (0.22%);
    P;240 (53.81%);
    B;205 (45.96%);
  size (byte) / encode ratio (avg);8119 / 95;
    I;31 655 / 24;
    P;11 714 / 66;
    B;3 796 / 204;
bit allocation;
  max;1 871 800;
  avg;1 629 600;
  min;1 383 600;
qp [0-130];
  qp min;15;
  qp avg;23.97;
  qp max;41;
distribution (bits);
    total;69 783 (100.00%);
    mb_skip;361 (0.52%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;4 960 (7.11%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;2 604 (3.73%);
    pred_mode;4 454 (6.38%);
    inter_prediction;11 680 (16.74%);
transform;
    coded_block_pattern;4 841 (6.94%);
    transform_size_8x8_flag;607 (0.87%);
    mb_qp_delta;4 930 (7.07%);
    transform;33 159 (47.52%);
    pcm_data;0 (0.00%);
