stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;11757;24;;;;;42.532377;;94 056;0;0;3 149;0;;9 654;14 297;0;;0;1 031;2 414;58 020;0;
1;1;0x0000000I64X;1;P;00:00:00:040;3537;25;;;;;39.113365;;28 296;785;0;2 594;0;;1 098;1 990;6 090;;2 081;133;2 517;9 208;0;
2;2;0x0000000I64X;2;P;00:00:00:080;5748;22;;;;;40.993704;;45 984;503;0;3 274;0;;1 578;2 597;8 965;;4 160;210;4 093;18 598;0;
3;4;0x0000000I64X;4;P;00:00:00:160;8949;20;;;;;40.310433;;71 592;225;0;4 225;0;;1 875;2 954;12 844;;5 741;307;5 236;35 767;0;
4;3;0x0000000I64X;3;B;00:00:00:120;2557;24;;;;;42.807800;;20 456;865;0;3 603;0;;267;533;5 341;;2 460;329;1 709;4 033;0;
5;6;0x0000000I64X;6;P;00:00:00:240;13150;17;;;;;42.529542;;105 200;99;0;5 181;0;;2 675;4 192;15 815;;6 704;475;6 996;60 362;0;
6;5;0x0000000I64X;5;B;00:00:00:200;3482;21;;;;;45.004572;;27 856;718;0;4 407;0;;150;374;6 045;;4 167;635;2 159;7 937;0;
7;8;0x0000000I64X;8;P;00:00:00:320;13199;18;;;;;44.693002;;105 592;123;0;4 792;0;;2 232;3 340;13 347;;6 424;437;5 387;67 000;0;
8;7;0x0000000I64X;7;B;00:00:00:280;5286;19;;;;;42.649043;;42 288;371;0;6 349;0;;484;929;9 731;;6 002;1 048;2 654;13 300;0;
9;10;0x0000000I64X;10;P;00:00:00:400;8195;19;;;;;43.594213;;65 560;189;0;4 368;0;;1 905;3 218;11 489;;5 889;363;5 032;30 507;0;
10;9;0x0000000I64X;9;B;00:00:00:360;4198;20;;;;;43.859536;;33 584;504;0;6 071;0;;507;905;7 874;;4 832;867;2 306;8 201;0;
11;12;0x0000000I64X;12;P;00:00:00:480;10848;17;;;;;43.506369;;86 784;144;0;4 506;0;;2 011;3 130;13 072;;6 664;436;5 176;49 078;0;
12;11;0x0000000I64X;11;B;00:00:00:440;4266;20;;;;;44.605116;;34 128;557;0;5 425;0;;367;717;8 697;;4 867;853;2 330;8 948;0;
13;14;0x0000000I64X;14;P;00:00:00:560;12967;17;;;;;42.983691;;103 736;108;0;5 037;0;;3 756;6 132;12 895;;5 542;550;5 196;61 202;0;
14;13;0x0000000I64X;13;B;00:00:00:520;6357;19;;;;;44.801617;;50 856;372;0;6 568;0;;680;1 169;10 560;;6 248;1 100;3 184;19 485;0;
15;16;0x0000000I64X;16;P;00:00:00:640;9992;17;;;;;43.775881;;79 936;93;0;5 095;0;;2 054;3 523;12 089;;5 822;391;5 042;42 835;0;
16;15;0x0000000I64X;15;B;00:00:00:600;6860;19;;;;;45.424795;;54 880;276;0;6 417;0;;435;943;10 940;;7 115;1 241;3 464;22 852;0;
17;18;0x0000000I64X;18;P;00:00:00:720;10933;17;;;;;45.350345;;87 464;110;0;5 134;0;;2 284;3 699;13 970;;6 207;432;5 109;47 763;0;
18;17;0x0000000I64X;17;B;00:00:00:680;6055;19;;;;;45.851192;;48 440;299;0;6 802;0;;586;1 092;10 911;;6 362;1 099;2 975;16 805;0;
19;20;0x0000000I64X;20;P;00:00:00:800;16211;16;;;;;44.882950;;129 688;75;0;5 258;0;;8 561;13 392;15 673;;4 126;883;4 889;71 828;0;
20;19;0x0000000I64X;19;B;00:00:00:760;6187;19;;;;;46.370684;;49 496;371;0;6 787;0;;828;1 453;11 141;;6 192;1 112;3 174;16 726;0;
21;22;0x0000000I64X;22;P;00:00:00:880;10464;18;;;;;45.383892;;83 712;65;0;5 329;0;;2 840;4 457;13 636;;5 756;493;5 256;42 820;0;
22;21;0x0000000I64X;21;B;00:00:00:840;5879;19;;;;;45.559478;;47 032;306;0;7 092;0;;761;1 283;12 180;;5 756;1 009;2 886;14 238;0;
23;24;0x0000000I64X;24;P;00:00:00:960;10598;18;;;;;44.819942;;84 784;98;0;5 494;0;;2 863;4 806;13 910;;5 800;481;5 416;43 094;0;
24;23;0x0000000I64X;23;B;00:00:00:920;5535;19;;;;;45.485883;;44 280;293;0;6 892;0;;601;1 155;10 837;;6 103;1 067;3 190;12 670;0;
25;26;0x0000000I64X;26;P;00:00:01:040;10266;18;;;;;45.658819;;82 128;98;0;5 084;0;;2 349;3 841;14 052;;6 225;440;5 481;41 848;0;
26;25;0x0000000I64X;25;B;00:00:01:000;5229;19;;;;;45.399024;;41 832;343;0;6 346;0;;629;1 135;10 068;;5 893;1 002;2 683;12 196;0;
27;28;0x0000000I64X;28;P;00:00:01:120;10576;17;;;;;44.945744;;84 608;111;0;5 155;0;;2 482;4 121;14 384;;6 172;463;5 324;43 593;0;
28;27;0x0000000I64X;27;B;00:00:01:080;5460;19;;;;;45.690002;;43 680;358;0;6 555;0;;467;951;10 562;;6 028;991;3 013;13 463;0;
29;30;0x0000000I64X;30;P;00:00:01:200;12212;18;;;;;44.366327;;97 696;112;0;5 399;0;;2 358;4 039;15 529;;6 531;420;5 625;55 289;0;
30;29;0x0000000I64X;29;B;00:00:01:160;6113;19;;;;;44.812977;;48 904;311;0;6 974;0;;722;1 330;11 157;;6 329;1 111;3 201;16 245;0;
