name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;25;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:12:160;
epsnr [255];36.77;
frames;
  count;304;
    I;1 (0.32%);
    P;155 (50.98%);
    B;148 (48.68%);
  size (byte) / encode ratio (avg);8300 / 93;
    I;39 244 / 19;
    P;12 259 / 63;
    B;3 944 / 197;
bit allocation;
  max;1 951 600;
  avg;1 638 000;
  min;1 438 200;
qp [0-256];
  qp min;17;
  qp avg;27.26;
  qp max;44;
distribution (bits);
    total;65 362 (100.00%);
    mb_skip;448 (0.69%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;4 079 (6.24%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;1 940 (2.97%);
    pred_mode;3 393 (5.19%);
    inter_prediction;12 005 (18.37%);
transform;
    coded_block_pattern;5 724 (8.76%);
    transform_size_8x8_flag;527 (0.81%);
    mb_qp_delta;5 972 (9.14%);
    transform;29 491 (45.12%);
    pcm_data;0 (0.00%);
