stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;36948;25;;;;;39.248247;;295 584;0;0;2 118;0;;19 829;35 621;0;;0;1 246;3 697;226 822;0;
1;1;0x0000000I64X;1;P;00:00:00:040;3400;26;;;;;38.711525;;27 200;772;0;1 353;0;;44;137;6 513;;4 349;9;3 184;9 697;0;
2;2;0x0000000I64X;2;P;00:00:00:080;1064;29;;;;;35.149193;;8 512;970;0;701;0;;21;47;3 240;;847;3;725;1 103;0;
3;4;0x0000000I64X;4;P;00:00:00:160;5253;26;;;;;32.008217;;42 024;630;0;2 427;0;;651;960;9 927;;5 170;71;4 344;16 352;0;
4;3;0x0000000I64X;3;B;00:00:00:120;796;32;;;;;37.418298;;6 368;826;0;1 178;0;;0;18;2 241;;509;34;465;491;0;
5;6;0x0000000I64X;6;P;00:00:00:240;11322;24;;;;;34.923920;;90 576;154;0;3 821;0;;1 444;2 508;14 308;;8 119;170;6 910;51 752;0;
6;5;0x0000000I64X;5;B;00:00:00:200;1690;29;;;;;38.482537;;13 520;1 026;0;2 148;0;;14;75;3 950;;1 651;198;1 074;2 411;0;
7;8;0x0000000I64X;8;P;00:00:00:320;22146;21;;;;;38.400762;;177 168;73;0;5 593;0;;5 247;9 865;21 591;;7 214;401;7 011;117 979;0;
8;7;0x0000000I64X;7;B;00:00:00:280;3639;25;;;;;40.231028;;29 112;792;0;3 764;0;;132;212;6 387;;4 570;750;2 747;8 488;0;
9;10;0x0000000I64X;10;P;00:00:00:400;10806;23;;;;;38.994334;;86 448;154;0;3 804;0;;1 626;2 744;14 435;;8 285;179;6 732;46 964;0;
10;9;0x0000000I64X;9;B;00:00:00:360;4272;24;;;;;40.127395;;34 176;702;0;4 179;0;;335;553;7 112;;5 371;876;3 128;10 630;0;
11;12;0x0000000I64X;12;P;00:00:00:480;18275;22;;;;;39.569764;;146 200;105;0;4 976;0;;7 127;12 837;16 451;;5 755;698;6 591;87 838;0;
12;11;0x0000000I64X;11;B;00:00:00:440;4731;24;;;;;40.222272;;37 848;626;0;4 836;0;;453;671;8 390;;5 584;941;3 269;11 767;0;
13;14;0x0000000I64X;14;P;00:00:00:560;11650;23;;;;;38.989303;;93 200;126;0;4 329;0;;3 060;5 009;14 439;;7 224;368;6 450;49 828;0;
14;13;0x0000000I64X;13;B;00:00:00:520;4333;24;;;;;39.692871;;34 664;581;0;4 559;0;;381;643;8 059;;5 506;895;3 125;9 631;0;
15;16;0x0000000I64X;16;P;00:00:00:640;11556;23;;;;;38.796045;;92 448;112;0;4 197;0;;2 683;4 415;13 996;;7 649;341;6 508;50 297;0;
16;15;0x0000000I64X;15;B;00:00:00:600;5199;24;;;;;39.938305;;41 592;462;0;4 400;0;;306;478;7 980;;7 002;1 112;3 715;14 992;0;
17;18;0x0000000I64X;18;P;00:00:00:720;13190;22;;;;;39.186353;;105 520;96;0;4 494;0;;3 802;6 428;16 005;;7 220;452;6 539;57 801;0;
18;17;0x0000000I64X;17;B;00:00:00:680;4801;24;;;;;40.801211;;38 408;555;0;4 649;0;;372;601;8 861;;6 027;995;3 203;11 893;0;
19;20;0x0000000I64X;20;P;00:00:00:800;15210;22;;;;;39.388403;;121 680;84;0;4 814;0;;4 734;8 091;17 050;;6 538;527;7 095;69 726;0;
20;19;0x0000000I64X;19;B;00:00:00:760;4522;24;;;;;40.397389;;36 176;672;0;4 320;0;;296;499;7 598;;5 608;968;3 285;11 648;0;
21;22;0x0000000I64X;22;P;00:00:00:880;13430;23;;;;;39.241956;;107 440;113;0;4 030;0;;2 839;4 898;15 346;;7 279;330;7 191;63 430;0;
22;21;0x0000000I64X;21;B;00:00:00:840;4315;24;;;;;39.143673;;34 520;675;0;3 982;0;;300;482;6 905;;5 604;927;3 204;11 200;0;
23;24;0x0000000I64X;24;P;00:00:00:960;15222;23;;;;;38.549500;;121 776;126;0;3 830;0;;2 027;3 179;14 639;;7 234;224;7 481;81 419;0;
24;23;0x0000000I64X;23;B;00:00:00:920;5783;25;;;;;38.175000;;46 264;402;0;5 231;0;;319;628;8 917;;7 131;1 210;4 301;17 015;0;
25;26;0x0000000I64X;26;P;00:00:01:040;16651;23;;;;;37.697860;;133 208;133;0;3 931;0;;1 672;2 847;13 979;;6 957;194;7 720;94 470;0;
26;25;0x0000000I64X;25;B;00:00:01:000;3518;26;;;;;37.810676;;28 144;755;0;3 252;0;;12;44;4 510;;4 893;860;3 137;9 598;0;
27;28;0x0000000I64X;28;P;00:00:01:120;9874;24;;;;;37.667348;;78 992;210;0;3 615;0;;2 007;3 142;11 311;;6 965;225;6 577;43 129;0;
28;27;0x0000000I64X;27;B;00:00:01:080;3490;26;;;;;38.942770;;27 920;860;0;3 164;0;;29;81;4 697;;4 736;781;3 129;9 280;0;
29;30;0x0000000I64X;30;P;00:00:01:200;17952;23;;;;;38.079899;;143 616;109;0;4 558;0;;6 399;11 487;15 039;;6 693;533;7 047;88 923;0;
30;29;0x0000000I64X;29;B;00:00:01:160;4257;25;;;;;38.994847;;34 056;766;0;3 795;0;;296;429;6 182;;5 341;890;3 217;11 852;0;
31;32;0x0000000I64X;32;P;00:00:01:280;10941;24;;;;;38.284119;;87 528;166;0;4 331;0;;3 211;5 235;13 431;;6 855;387;6 407;44 742;0;
32;31;0x0000000I64X;31;B;00:00:01:240;3428;25;;;;;39.156774;;27 424;874;0;3 458;0;;243;392;5 771;;4 316;743;2 605;7 738;0;
33;34;0x0000000I64X;34;P;00:00:01:360;9984;23;;;;;38.408930;;79 872;157;0;4 025;0;;2 797;4 834;13 209;;7 114;330;6 113;38 856;0;
34;33;0x0000000I64X;33;B;00:00:01:320;3685;25;;;;;39.672874;;29 480;783;0;3 477;0;;171;320;6 137;;4 785;777;2 752;9 062;0;
35;36;0x0000000I64X;36;P;00:00:01:440;12471;23;;;;;38.898001;;99 768;123;0;4 370;0;;3 568;6 126;14 445;;7 215;404;6 339;54 522;0;
36;35;0x0000000I64X;35;B;00:00:01:400;3928;25;;;;;39.896185;;31 424;721;0;4 107;0;;207;380;7 180;;4 963;785;2 789;9 053;0;
37;38;0x0000000I64X;38;P;00:00:01:520;11587;23;;;;;39.606897;;92 696;81;0;4 809;0;;3 783;6 431;14 127;;6 553;442;6 253;47 120;0;
38;37;0x0000000I64X;37;B;00:00:01:480;4486;24;;;;;40.152769;;35 888;603;0;4 772;0;;443;720;8 052;;5 542;916;3 002;10 466;0;
