name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:15:100;
epsnr;38.44;
frames;
  count;453;
    I;2 (0.44%);
    P;194 (42.82%);
    B;257 (56.73%);
  size (byte) / encode ratio (avg);5177 / 150;
    I;38 167 / 20;
    P;9 398 / 82;
    B;1 735 / 448;
bit allocation;
  max;1 494 544;
  avg;1 204 080;
  min;923 128;
qp;
  qp min;8;
  qp avg;26.88;
  qp max;37;
distribution (bits);
    total;41 421 (100.00%);
    mb_skip;706 (1.71%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;2 470 (5.97%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;497 (1.20%);
    pred_mode;1 269 (3.06%);
    inter_prediction;10 178 (24.57%);
transform;
    coded_block_pattern;3 158 (7.62%);
    transform_size_8x8_flag;86 (0.21%);
    mb_qp_delta;2 367 (5.72%);
    transform;19 191 (46.33%);
    pcm_data;0 (0.00%);
