stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;18395;22;;;;;41.725122;;147 160;0;0;3 359;0;;7 430;16 456;0;;0;777;4 437;101 919;0;
1;4;0x0000000I64X;8;P;00:00:00:133;4082;23;;;;;39.492381;;32 656;723;0;2 465;0;;226;435;8 916;;4 503;38;2 193;11 745;0;
2;2;0x0000000I64X;4;B;00:00:00:066;2119;24;;;;;41.358527;;16 952;573;0;2 256;0;;30;36;7 540;;2 064;59;724;2 644;0;
3;1;0x0000000I64X;2;B;00:00:00:033;638;22;;;;;42.579326;;5 104;600;0;622;0;;7;4;2 300;;412;4;63;125;0;
4;3;0x0000000I64X;6;B;00:00:00:100;1213;26;;;;;44.467192;;9 704;1 008;0;1 360;0;;0;5;4 067;;852;23;309;1 036;0;
5;8;0x0000000I64X;16;P;00:00:00:266;4826;23;;;;;41.304231;;38 608;642;0;2 710;0;;629;1 384;12 358;;3 523;85;2 661;12 562;0;
6;6;0x0000000I64X;12;B;00:00:00:200;2731;24;;;;;41.084561;;21 848;568;0;2 491;0;;38;55;8 578;;3 185;205;866;4 861;0;
7;5;0x0000000I64X;10;B;00:00:00:166;1473;24;;;;;41.575844;;11 784;831;0;1 926;0;;4;15;4 666;;1 391;40;332;1 463;0;
8;7;0x0000000I64X;14;B;00:00:00:233;1007;24;;;;;41.752611;;8 056;1 048;0;900;0;;0;1;3 123;;864;26;272;877;0;
9;12;0x0000000I64X;24;P;00:00:00:400;8551;23;;;;;38.614327;;68 408;309;0;4 002;0;;2 389;4 481;14 880;;3 724;303;3 722;31 566;0;
10;10;0x0000000I64X;20;B;00:00:00:333;5642;24;;;;;39.169615;;45 136;513;0;6 559;0;;1 433;2 396;11 294;;2 449;245;2 607;15 123;0;
11;9;0x0000000I64X;18;B;00:00:00:300;2291;24;;;;;41.307987;;18 328;566;0;2 263;0;;25;41;9 404;;2 001;46;746;2 279;0;
12;11;0x0000000I64X;22;B;00:00:00:366;1656;25;;;;;40.487934;;13 248;989;0;1 881;0;;80;116;5 352;;1 250;46;625;1 851;0;
13;16;0x0000000I64X;32;P;00:00:00:533;7371;23;;;;;39.325032;;58 968;131;0;4 856;0;;1 548;4 141;12 987;;3 829;132;4 509;24 377;0;
14;14;0x0000000I64X;28;B;00:00:00:466;3862;23;;;;;41.145994;;30 896;499;0;4 685;0;;220;419;10 111;;2 691;97;3 129;7 672;0;
15;13;0x0000000I64X;26;B;00:00:00:433;2332;24;;;;;41.895490;;18 656;669;0;2 800;0;;60;90;8 085;;1 805;44;1 297;2 690;0;
16;15;0x0000000I64X;30;B;00:00:00:500;1536;25;;;;;40.649783;;12 288;990;0;1 595;0;;24;34;4 568;;1 236;40;795;1 926;0;
17;20;0x0000000I64X;40;P;00:00:00:666;6701;23;;;;;39.033743;;53 608;323;0;3 822;0;;973;2 483;16 238;;4 580;134;3 296;19 754;0;
18;18;0x0000000I64X;36;B;00:00:00:600;3420;23;;;;;41.295272;;27 360;604;0;3 460;0;;108;201;11 710;;2 951;91;1 692;5 277;0;
19;17;0x0000000I64X;34;B;00:00:00:566;2163;24;;;;;42.181831;;17 304;618;0;2 454;0;;45;86;8 296;;1 823;38;693;2 241;0;
