name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;25;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:11:360;
epsnr [129];40.82;
frames;
  count;284;
    I;1 (0.35%);
    P;145 (51.05%);
    B;138 (48.59%);
  size (byte) / encode ratio (avg);8350 / 93;
    I;19 634 / 39;
    P;11 703 / 66;
    B;4 745 / 163;
bit allocation;
  max;1 823 000;
  avg;1 674 200;
  min;1 566 200;
qp [0-130];
  qp min;16;
  qp avg;22.50;
  qp max;40;
distribution (bits);
    total;67 721 (100.00%);
    mb_skip;331 (0.49%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;4 033 (5.96%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;2 515 (3.71%);
    pred_mode;4 615 (6.82%);
    inter_prediction;9 114 (13.46%);
transform;
    coded_block_pattern;5 692 (8.41%);
    transform_size_8x8_flag;793 (1.17%);
    mb_qp_delta;3 112 (4.60%);
    transform;35 210 (51.99%);
    pcm_data;0 (0.00%);
