stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;35279;25;;;;;39.597055;;282 232;0;0;1 598;0;;22 919;42 109;0;;0;1 317;5 666;201 903;0;
1;1;0x0000000I64X;1;P;00:00:00:040;4966;27;;;;;37.540760;;39 728;597;0;2 776;0;;254;515;12 946;;4 918;31;4 413;12 000;0;
2;2;0x0000000I64X;2;P;00:00:00:080;4656;30;;;;;34.394414;;37 248;709;0;2 398;0;;556;975;11 976;;3 946;49;3 987;11 159;0;
3;4;0x0000000I64X;4;P;00:00:00:160;11650;27;;;;;31.952096;;93 200;188;0;4 590;0;;3 999;7 198;17 336;;6 501;365;7 720;42 690;0;
4;3;0x0000000I64X;3;B;00:00:00:120;2528;32;;;;;36.087388;;20 224;969;0;2 812;0;;120;211;6 722;;2 301;323;1 833;3 831;0;
5;6;0x0000000I64X;6;P;00:00:00:240;11006;26;;;;;35.129212;;88 048;216;0;4 234;0;;2 821;4 764;16 919;;7 380;229;7 702;41 881;0;
6;5;0x0000000I64X;5;B;00:00:00:200;3311;29;;;;;36.956411;;26 488;864;0;3 599;0;;101;212;7 703;;3 549;508;2 774;6 001;0;
7;8;0x0000000I64X;8;P;00:00:00:320;9739;26;;;;;36.078953;;77 912;264;0;3 936;0;;2 310;4 029;16 050;;7 035;221;7 207;34 954;0;
8;7;0x0000000I64X;7;B;00:00:00:280;3956;28;;;;;37.227223;;31 648;802;0;3 969;0;;239;448;8 129;;4 199;642;3 339;8 627;0;
9;10;0x0000000I64X;10;P;00:00:00:400;10952;25;;;;;36.769302;;87 616;100;0;4 459;0;;2 126;3 747;17 435;;7 776;231;8 008;42 230;0;
10;9;0x0000000I64X;9;B;00:00:00:360;3416;27;;;;;37.853698;;27 328;918;0;3 645;0;;207;369;7 463;;3 461;455;2 836;6 717;0;
11;12;0x0000000I64X;12;P;00:00:00:480;13629;26;;;;;36.772653;;109 032;91;0;5 295;0;;4 049;6 851;17 725;;6 408;443;8 339;57 249;0;
12;11;0x0000000I64X;11;B;00:00:00:440;5064;27;;;;;37.010226;;40 512;566;0;5 107;0;;229;483;10 005;;5 855;868;4 468;11 754;0;
13;14;0x0000000I64X;14;P;00:00:00:560;14917;26;;;;;36.217714;;119 336;85;0;4 827;0;;3 235;5 564;16 494;;6 808;320;8 600;71 516;0;
14;13;0x0000000I64X;13;B;00:00:00:520;4985;27;;;;;36.068395;;39 880;638;0;4 713;0;;354;608;7 926;;5 812;889;4 706;12 942;0;
15;16;0x0000000I64X;16;P;00:00:00:640;14569;27;;;;;35.440950;;116 552;150;0;4 455;0;;2 125;3 663;15 520;;6 444;245;8 305;73 899;0;
