name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:15:066;
epsnr [256];39.22;
frames;
  count;452;
    I;2 (0.44%);
    P;258 (57.07%);
    B;192 (42.47%);
  size (byte) / encode ratio (avg);5999 / 129;
    I;21 983 / 35;
    P;8 649 / 89;
    B;2 272 / 342;
bit allocation;
  max;1 669 704;
  avg;1 356 968;
  min;853 528;
qp [0-257];
  qp min;8;
  qp avg;25.27;
  qp max;43;
distribution (bits);
    total;46 975 (100.00%);
    mb_skip;554 (1.18%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;3 575 (7.61%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;1 077 (2.29%);
    pred_mode;2 292 (4.88%);
    inter_prediction;10 027 (21.35%);
transform;
    coded_block_pattern;3 023 (6.44%);
    transform_size_8x8_flag;135 (0.29%);
    mb_qp_delta;3 289 (7.00%);
    transform;20 950 (44.60%);
    pcm_data;0 (0.00%);
