stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;96746;27;;;;;34.435365;;773 968;0;0;1 573;0;;19 099;45 643;0;;0;1 259;5 756;689 957;0;
1;4;0x0000000I64X;8;P;00:00:00:133;21352;30;;;;;31.035603;;170 816;451;0;3 142;0;;139;484;24 345;;5 157;20;4 107;132 119;0;
2;2;0x0000000I64X;4;B;00:00:00:066;7217;34;;;;;30.043657;;57 736;120;0;7 818;0;;25;46;19 688;;3 686;526;919;24 688;0;
3;1;0x0000000I64X;2;B;00:00:00:033;2618;36;;;;;31.555455;;20 944;275;0;5 295;0;;0;0;10 353;;1 285;138;201;2 755;0;
4;3;0x0000000I64X;6;B;00:00:00:100;1536;34;;;;;29.912562;;12 288;1 029;0;2 212;0;;0;0;4 958;;838;104;166;1 996;0;
5;8;0x0000000I64X;16;P;00:00:00:266;21332;31;;;;;30.334050;;170 656;482;0;2 985;0;;133;429;28 311;;4 911;17;3 544;128 927;0;
6;6;0x0000000I64X;12;B;00:00:00:200;6803;34;;;;;29.937696;;54 424;359;0;7 271;0;;15;36;15 736;;3 654;517;851;25 159;0;
7;5;0x0000000I64X;10;B;00:00:00:166;2172;36;;;;;31.051007;;17 376;227;0;4 479;0;;0;0;8 903;;1 188;121;159;1 836;0;
8;7;0x0000000I64X;14;B;00:00:00:233;1482;36;;;;;29.607493;;11 856;1 005;0;2 438;0;;0;0;5 008;;787;83;42;1 433;0;
9;12;0x0000000I64X;24;P;00:00:00:400;20871;31;;;;;30.651476;;166 968;407;0;3 494;0;;295;589;28 922;;5 241;39;3 992;122 930;0;
