stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;42259;22;;;;;40.269313;;338 072;0;0;1 970;0;;16 220;33 918;0;;0;1 198;6 564;266 198;0;
1;4;0x0000000I64X;8;P;00:00:00:133;14668;23;;;;;34.580494;;117 344;469;0;2 950;0;;231;347;12 554;;5 925;65;5 193;88 385;0;
2;2;0x0000000I64X;4;B;00:00:00:066;2356;26;;;;;37.547494;;18 848;281;0;4 494;0;;10;20;9 202;;1 318;96;673;2 248;0;
3;1;0x0000000I64X;2;B;00:00:00:033;2068;28;;;;;39.191266;;16 544;311;0;3 269;0;;33;52;8 250;;1 221;83;515;2 173;0;
4;3;0x0000000I64X;6;B;00:00:00:100;591;32;;;;;35.905089;;4 728;928;0;673;0;;4;5;1 946;;162;2;38;156;0;
5;6;0x0000000I64X;12;P;00:00:00:200;12032;23;;;;;36.868759;;96 256;479;0;2 585;0;;167;327;11 852;;6 466;48;5 423;67 670;0;
6;5;0x0000000I64X;10;B;00:00:00:166;852;27;;;;;39.731728;;6 816;702;0;1 186;0;;4;2;3 120;;402;9;146;337;0;
7;10;0x0000000I64X;20;P;00:00:00:333;13046;23;;;;;45.202585;;104 368;386;0;3 151;0;;317;585;12 896;;6 737;84;5 642;73 155;0;
8;8;0x0000000I64X;16;B;00:00:00:266;2077;26;;;;;38.295044;;16 616;482;0;3 494;0;;11;25;7 209;;1 266;29;1 079;2 186;0;
9;7;0x0000000I64X;14;B;00:00:00:233;1296;26;;;;;39.429823;;10 368;461;0;2 384;0;;11;6;5 208;;678;6;325;497;0;
10;9;0x0000000I64X;18;B;00:00:00:300;517;21;;;;;37.768048;;4 136;896;0;453;0;;16;14;1 310;;246;5;167;365;0;
11;14;0x0000000I64X;28;P;00:00:00:466;10406;23;;;;;37.365951;;83 248;403;0;3 264;0;;227;480;12 576;;6 437;58;5 567;52 859;0;
12;12;0x0000000I64X;24;B;00:00:00:400;1451;25;;;;;39.706639;;11 608;492;0;1 866;0;;11;22;4 368;;1 128;22;998;1 838;0;
13;11;0x0000000I64X;22;B;00:00:00:366;1489;25;;;;;40.248560;;11 912;430;0;2 266;0;;9;17;6 063;;866;7;600;882;0;
14;13;0x0000000I64X;26;B;00:00:00:433;733;24;;;;;38.880115;;5 864;996;0;1 096;0;;0;2;2 055;;297;1;176;255;0;
15;18;0x0000000I64X;36;P;00:00:00:600;8996;23;;;;;37.323551;;71 968;449;0;3 099;0;;141;372;13 970;;6 024;42;4 891;41 628;0;
16;16;0x0000000I64X;32;B;00:00:00:533;1904;25;;;;;39.014152;;15 232;415;0;2 614;0;;16;25;6 376;;1 407;19;1 159;2 430;0;
17;15;0x0000000I64X;30;B;00:00:00:500;1302;25;;;;;40.475957;;10 416;496;0;2 099;0;;0;9;5 264;;705;4;352;644;0;
18;17;0x0000000I64X;34;B;00:00:00:566;1009;27;;;;;39.024046;;8 072;1 042;0;1 370;0;;16;35;2 992;;480;9;352;776;0;
19;22;0x0000000I64X;44;P;00:00:00:733;8811;23;;;;;37.439973;;70 488;446;0;3 471;0;;268;624;15 192;;5 827;56;4 824;38 438;0;
20;20;0x0000000I64X;40;B;00:00:00:666;2280;26;;;;;38.770543;;18 240;485;0;3 002;0;;37;38;7 513;;1 590;63;1 277;3 365;0;
21;19;0x0000000I64X;38;B;00:00:00:633;1451;26;;;;;40.368648;;11 608;452;0;2 237;0;;8;35;5 294;;895;11;631;1 238;0;
22;21;0x0000000I64X;42;B;00:00:00:700;1102;26;;;;;38.280133;;8 816;1 034;0;1 358;0;;9;7;3 351;;537;20;409;1 069;0;
23;26;0x0000000I64X;52;P;00:00:00:866;11544;23;;;;;37.626871;;92 352;328;0;4 204;0;;498;1 125;17 957;;6 153;83;5 514;55 060;0;
24;24;0x0000000I64X;48;B;00:00:00:800;2666;26;;;;;38.737706;;21 328;510;0;4 051;0;;45;102;9 377;;1 646;58;1 263;3 437;0;
25;23;0x0000000I64X;46;B;00:00:00:766;1448;25;;;;;39.451528;;11 584;699;0;2 796;0;;17;25;5 199;;694;11;388;679;0;
26;25;0x0000000I64X;50;B;00:00:00:833;1038;26;;;;;38.418950;;8 304;1 044;0;1 527;0;;10;12;3 272;;468;15;327;714;0;
