name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:12:266;
epsnr [255];38.47;
frames;
  count;368;
    I;2 (0.54%);
    P;162 (44.02%);
    B;204 (55.43%);
  size (byte) / encode ratio (avg);5321 / 146;
    I;42 435 / 18;
    P;9 743 / 79;
    B;1 445 / 538;
bit allocation;
  max;1 507 072;
  avg;1 218 928;
  min;1 024 280;
qp [0-256];
  qp min;5;
  qp avg;25.72;
  qp max;37;
distribution (bits);
    total;42 131 (100.00%);
    mb_skip;709 (1.68%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;2 639 (6.26%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;463 (1.10%);
    pred_mode;965 (2.29%);
    inter_prediction;8 461 (20.08%);
transform;
    coded_block_pattern;2 769 (6.57%);
    transform_size_8x8_flag;78 (0.19%);
    mb_qp_delta;2 572 (6.11%);
    transform;22 101 (52.46%);
    pcm_data;0 (0.00%);
