stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;15942;19;;;;;44.039796;;127 536;0;0;4 334;0;;6 818;12 555;0;;0;814;5 559;87 287;0;
1;1;0x0000000I64X;2;P;00:00:00:033;594;19;;;;;47.687061;;4 752;756;0;401;0;;94;98;1 927;;255;18;203;425;0;
2;4;0x0000000I64X;8;P;00:00:00:133;4829;21;;;;;40.366092;;38 632;644;0;3 278;0;;381;833;10 408;;2 899;39;3 215;15 441;0;
3;2;0x0000000I64X;4;B;00:00:00:066;1981;21;;;;;43.223049;;15 848;737;0;2 669;0;;89;147;6 801;;1 289;47;1 021;1 912;0;
4;3;0x0000000I64X;6;B;00:00:00:100;1039;23;;;;;41.804381;;8 312;1 033;0;1 224;0;;13;11;3 190;;610;20;410;833;0;
5;8;0x0000000I64X;16;P;00:00:00:266;6196;22;;;;;43.145127;;49 568;504;0;3 968;0;;771;1 684;11 246;;3 532;92;3 624;22 364;0;
6;6;0x0000000I64X;12;B;00:00:00:200;1549;22;;;;;42.491503;;12 392;877;0;1 910;0;;70;116;4 259;;1 077;38;777;2 156;0;
7;5;0x0000000I64X;10;B;00:00:00:166;1625;22;;;;;42.576844;;13 000;829;0;2 089;0;;17;31;4 909;;1 232;19;923;1 800;0;
8;7;0x0000000I64X;14;B;00:00:00:233;929;22;;;;;42.769031;;7 432;1 041;0;980;0;;26;39;2 847;;608;10;348;603;0;
9;12;0x0000000I64X;24;P;00:00:00:400;4564;22;;;;;44.015014;;36 512;555;0;3 777;0;;813;1 557;10 998;;2 916;88;3 051;10 919;0;
10;10;0x0000000I64X;20;B;00:00:00:333;1381;21;;;;;43.464316;;11 048;922;0;2 051;0;;98;142;4 007;;797;21;655;1 210;0;
11;9;0x0000000I64X;18;B;00:00:00:300;1378;22;;;;;43.929062;;11 024;837;0;1 945;0;;30;50;4 434;;1 004;11;602;973;0;
12;11;0x0000000I64X;22;B;00:00:00:366;1129;22;;;;;43.290447;;9 032;1 079;0;1 516;0;;47;84;2 925;;754;17;573;987;0;
13;16;0x0000000I64X;32;P;00:00:00:533;4695;22;;;;;43.773144;;37 560;638;0;3 756;0;;545;1 236;11 153;;2 947;67;3 130;12 331;0;
14;14;0x0000000I64X;28;B;00:00:00:466;1771;22;;;;;42.454327;;14 168;850;0;2 263;0;;107;148;6 163;;1 000;41;806;1 590;0;
15;13;0x0000000I64X;26;B;00:00:00:433;1511;22;;;;;43.640205;;12 088;820;0;1 887;0;;20;41;4 908;;1 192;16;773;1 291;0;
16;15;0x0000000I64X;30;B;00:00:00:500;1038;21;;;;;42.979482;;8 304;1 076;0;1 264;0;;30;50;3 036;;590;12;522;729;0;
17;20;0x0000000I64X;40;P;00:00:00:666;4465;22;;;;;42.390023;;35 720;593;0;3 572;0;;889;1 646;10 790;;2 313;93;2 790;11 094;0;
18;18;0x0000000I64X;36;B;00:00:00:600;2466;22;;;;;42.697836;;19 728;674;0;3 181;0;;213;355;8 195;;1 483;74;1 339;2 904;0;
19;17;0x0000000I64X;34;B;00:00:00:566;1585;22;;;;;43.183503;;12 680;910;0;2 085;0;;58;88;4 886;;1 064;26;788;1 588;0;
20;19;0x0000000I64X;38;B;00:00:00:633;1365;22;;;;;42.460778;;10 920;1 026;0;1 866;0;;53;96;4 213;;820;28;632;1 084;0;
21;24;0x0000000I64X;48;P;00:00:00:800;4497;23;;;;;40.385343;;35 976;640;0;3 733;0;;809;1 671;10 507;;2 361;77;2 820;11 572;0;
22;22;0x0000000I64X;44;B;00:00:00:733;1729;23;;;;;40.629486;;13 832;775;0;2 177;0;;65;103;6 036;;1 037;35;844;1 659;0;
23;21;0x0000000I64X;42;B;00:00:00:700;1275;23;;;;;41.770640;;10 200;905;0;1 866;0;;49;67;3 769;;893;13;636;914;0;
24;23;0x0000000I64X;46;B;00:00:00:766;851;24;;;;;41.677642;;6 808;1 001;0;1 059;0;;18;23;2 493;;469;7;344;560;0;
25;26;0x0000000I64X;52;P;00:00:00:866;4179;23;;;;;40.944787;;33 432;777;0;2 981;0;;729;1 379;9 509;;2 506;96;2 447;11 133;0;
26;25;0x0000000I64X;50;B;00:00:00:833;996;23;;;;;41.725531;;7 968;1 049;0;1 386;0;;19;38;2 661;;577;12;503;813;0;
27;28;0x0000000I64X;56;P;00:00:00:933;3951;23;;;;;39.857205;;31 608;787;0;3 390;0;;707;1 408;9 521;;2 260;68;2 593;9 074;0;
28;27;0x0000000I64X;54;B;00:00:00:900;1288;23;;;;;42.004787;;10 304;927;0;1 971;0;;50;85;3 708;;755;27;672;1 076;0;
29;30;0x0000000I64X;60;P;00:00:01:000;5228;24;;;;;37.536881;;41 824;698;0;3 564;0;;1 253;2 530;8 965;;2 419;165;3 046;17 064;0;
30;29;0x0000000I64X;58;B;00:00:00:966;1416;24;;;;;40.319523;;11 328;977;0;2 019;0;;28;73;4 508;;771;25;761;1 180;0;
31;31;0x0000000I64X;62;P;00:00:01:033;4989;23;;;;;41.716512;;39 912;282;0;4 717;0;;856;1 952;9 207;;2 630;81;4 260;14 249;0;
32;32;0x0000000I64X;64;P;00:00:01:066;5239;23;;;;;41.731801;;41 912;414;0;4 495;0;;1 131;2 422;10 211;;2 899;93;3 707;14 560;0;
33;34;0x0000000I64X;68;P;00:00:01:133;5556;24;;;;;40.102960;;44 448;456;0;4 092;0;;1 216;2 445;11 908;;2 858;121;3 246;15 994;0;
34;33;0x0000000I64X;66;B;00:00:01:100;1559;24;;;;;41.039579;;12 472;1 061;0;1 810;0;;57;100;4 370;;940;38;1 026;1 972;0;
35;36;0x0000000I64X;72;P;00:00:01:200;6044;24;;;;;40.663199;;48 352;277;0;4 780;0;;1 315;2 839;10 999;;3 193;119;4 507;18 206;0;
36;35;0x0000000I64X;70;B;00:00:01:166;1683;23;;;;;40.594527;;13 464;1 029;0;2 131;0;;116;173;4 727;;909;31;1 167;2 006;0;
37;38;0x0000000I64X;76;P;00:00:01:266;6038;24;;;;;37.006808;;48 304;491;0;3 737;0;;901;1 865;11 820;;3 608;93;3 826;19 965;0;
38;37;0x0000000I64X;74;B;00:00:01:233;1260;25;;;;;39.475465;;10 080;1 059;0;1 399;0;;45;70;3 657;;721;17;771;1 388;0;
39;40;0x0000000I64X;80;P;00:00:01:333;6341;24;;;;;35.995430;;50 728;555;0;3 743;0;;725;1 634;11 160;;3 785;85;4 115;23 184;0;
40;39;0x0000000I64X;78;B;00:00:01:300;1265;26;;;;;39.579546;;10 120;1 033;0;1 571;0;;26;46;3 442;;776;26;815;1 385;0;
41;42;0x0000000I64X;84;P;00:00:01:400;6693;24;;;;;36.361872;;53 544;589;0;3 711;0;;784;1 467;11 050;;3 927;89;3 904;26 184;0;
42;41;0x0000000I64X;82;B;00:00:01:366;1382;25;;;;;38.655903;;11 056;1 040;0;1 577;0;;35;62;3 639;;852;29;942;1 807;0;
43;44;0x0000000I64X;88;P;00:00:01:466;5927;23;;;;;36.034617;;47 416;687;0;3 418;0;;465;1 019;10 710;;3 844;79;3 802;21 780;0;
44;43;0x0000000I64X;86;B;00:00:01:433;1151;26;;;;;40.017811;;9 208;1 021;0;1 309;0;;32;70;2 787;;764;26;809;1 455;0;
45;48;0x0000000I64X;96;P;00:00:01:600;7321;24;;;;;43.490926;;58 568;184;0;4 811;0;;795;1 861;9 719;;4 181;94;5 903;29 512;0;
46;46;0x0000000I64X;92;B;00:00:01:533;3546;25;;;;;36.707587;;28 368;892;0;2 593;0;;76;163;4 332;;2 220;221;2 332;14 371;0;
47;45;0x0000000I64X;90;B;00:00:01:500;1121;24;;;;;38.913119;;8 968;1 022;0;1 289;0;;25;58;2 275;;691;17;1 016;1 620;0;
48;47;0x0000000I64X;94;B;00:00:01:566;975;22;;;;;38.434895;;7 800;1 032;0;1 280;0;;26;50;2 017;;698;9;557;1 067;0;
49;50;0x0000000I64X;100;P;00:00:01:666;6174;23;;;;;40.468746;;49 392;578;0;3 499;0;;1 231;2 326;12 603;;3 323;142;3 848;19 721;0;
50;49;0x0000000I64X;98;B;00:00:01:633;1238;23;;;;;40.425013;;9 904;1 038;0;1 770;0;;26;59;3 560;;682;21;631;1 183;0;
51;52;0x0000000I64X;104;P;00:00:01:733;5758;24;;;;;41.738891;;46 064;311;0;4 403;0;;862;2 007;11 180;;3 125;114;4 404;17 915;0;
52;51;0x0000000I64X;102;B;00:00:01:700;1475;24;;;;;38.422929;;11 800;897;0;1 961;0;;32;73;2 950;;782;16;1 487;2 537;0;
53;54;0x0000000I64X;108;P;00:00:01:800;7106;26;;;;;35.295588;;56 848;411;0;4 323;0;;1 645;3 523;11 539;;3 021;153;4 149;25 431;0;
54;53;0x0000000I64X;106;B;00:00:01:766;1213;26;;;;;34.874967;;9 704;1 007;0;1 518;0;;20;41;3 300;;677;17;722;1 413;0;
55;58;0x0000000I64X;116;P;00:00:01:933;8765;27;;;;;34.774980;;70 120;193;0;5 149;0;;3 330;7 713;2 706;;632;273;4 478;41 857;0;
56;56;0x0000000I64X;112;B;00:00:01:866;2119;27;;;;;34.034978;;16 952;982;0;1 898;0;;168;295;5 392;;922;54;946;5 247;0;
57;55;0x0000000I64X;110;B;00:00:01:833;965;26;;;;;36.121677;;7 720;977;0;1 106;0;;27;45;2 350;;536;27;625;1 258;0;
58;57;0x0000000I64X;114;B;00:00:01:900;922;27;;;;;35.971761;;7 376;981;0;1 048;0;;29;29;2 322;;530;26;481;1 102;0;
59;60;0x0000000I64X;120;P;00:00:02:000;7192;24;;;;;32.657969;;57 536;246;0;5 244;0;;1 429;3 538;9 561;;3 104;138;4 669;27 724;0;
60;59;0x0000000I64X;118;B;00:00:01:966;981;27;;;;;39.477029;;7 848;999;0;934;0;;8;16;2 809;;554;9;589;1 112;0;
61;62;0x0000000I64X;124;P;00:00:02:066;6068;22;;;;;33.878632;;48 544;611;0;3 625;0;;538;1 242;10 880;;3 888;46;3 830;22 210;0;
62;61;0x0000000I64X;122;B;00:00:02:033;1025;26;;;;;42.096162;;8 200;1 026;0;1 287;0;;31;60;2 832;;620;12;523;868;0;
63;66;0x0000000I64X;132;P;00:00:02:200;8646;26;;;;;39.022958;;69 168;177;0;5 584;0;;2 338;6 094;5 950;;1 396;194;4 589;40 102;0;
