stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;42241;24;;;;;38.736820;;337 928;0;0;1 669;0;;17 319;37 035;0;;0;1 320;6 570;261 676;0;
1;3;0x0000000I64X;6;P;00:00:00:100;6760;24;;;;;36.385827;;54 080;593;0;3 085;0;;546;1 175;12 881;;5 065;67;4 248;24 648;0;
2;1;0x0000000I64X;2;B;00:00:00:033;418;24;;;;;39.833747;;3 344;227;0;330;0;;6;4;1 787;;399;4;85;71;0;
3;2;0x0000000I64X;4;B;00:00:00:066;2117;28;;;;;42.084347;;16 936;950;0;2 466;0;;237;405;7 219;;930;93;578;2 682;0;
4;7;0x0000000I64X;14;P;00:00:00:233;21880;24;;;;;36.218074;;175 040;70;0;5 280;0;;2 256;5 298;20 949;;5 430;280;7 510;125 609;0;
5;5;0x0000000I64X;10;B;00:00:00:166;3923;28;;;;;35.969306;;31 384;111;0;3 989;0;;442;755;10 671;;2 658;285;2 006;9 771;0;
6;4;0x0000000I64X;8;B;00:00:00:133;3319;28;;;;;38.637319;;26 552;74;0;2 876;0;;203;402;12 089;;2 545;197;1 660;6 100;0;
7;6;0x0000000I64X;12;B;00:00:00:200;1474;27;;;;;35.545147;;11 792;976;0;1 716;0;;54;119;5 011;;654;57;346;1 707;0;
8;11;0x0000000I64X;22;P;00:00:00:366;12783;24;;;;;34.331204;;102 264;304;0;3 727;0;;815;1 574;17 550;;7 006;110;5 986;63 642;0;
9;9;0x0000000I64X;18;B;00:00:00:300;2715;25;;;;;37.933686;;21 720;447;0;3 876;0;;210;355;9 733;;1 386;110;909;3 661;0;
10;8;0x0000000I64X;16;B;00:00:00:266;1667;31;;;;;39.392723;;13 336;358;0;2 477;0;;43;86;7 326;;777;48;310;1 277;0;
11;10;0x0000000I64X;20;B;00:00:00:333;863;31;;;;;34.695868;;6 904;933;0;842;0;;21;40;3 316;;324;23;130;487;0;
12;15;0x0000000I64X;30;P;00:00:00:500;11794;24;;;;;37.977203;;94 352;328;0;3 604;0;;828;1 579;15 540;;7 105;120;5 968;57 674;0;
13;13;0x0000000I64X;26;B;00:00:00:433;2207;26;;;;;38.781901;;17 656;395;0;2 508;0;;131;211;7 218;;1 627;74;1 107;3 506;0;
14;12;0x0000000I64X;24;B;00:00:00:400;1790;28;;;;;39.208428;;14 320;381;0;2 621;0;;38;58;7 509;;986;38;628;1 267;0;
15;14;0x0000000I64X;28;B;00:00:00:466;844;26;;;;;36.821241;;6 752;1 043;0;1 029;0;;8;25;2 415;;427;16;239;624;0;
16;19;0x0000000I64X;38;P;00:00:00:633;9066;24;;;;;38.000981;;72 528;356;0;3 528;0;;676;1 407;15 530;;6 464;71;5 406;37 292;0;
17;17;0x0000000I64X;34;B;00:00:00:566;2397;25;;;;;38.552402;;19 176;583;0;2 977;0;;144;224;7 251;;1 494;78;1 138;4 092;0;
18;16;0x0000000I64X;32;B;00:00:00:533;1718;27;;;;;40.201501;;13 744;428;0;2 438;0;;31;58;7 461;;895;33;527;1 057;0;
19;18;0x0000000I64X;36;B;00:00:00:600;1238;26;;;;;37.090367;;9 904;1 004;0;1 494;0;;24;62;3 791;;704;29;467;1 239;0;
20;23;0x0000000I64X;46;P;00:00:00:766;9286;24;;;;;38.413662;;74 288;401;0;3 568;0;;550;1 329;18 016;;6 344;84;5 544;36 824;0;
21;21;0x0000000I64X;42;B;00:00:00:700;2772;26;;;;;37.796655;;22 176;611;0;3 676;0;;160;321;8 450;;1 607;112;1 224;4 801;0;
22;20;0x0000000I64X;40;B;00:00:00:666;1914;28;;;;;39.851456;;15 312;440;0;2 763;0;;81;159;7 273;;1 099;50;645;1 912;0;
23;22;0x0000000I64X;44;B;00:00:00:733;1341;26;;;;;36.785100;;10 728;1 025;0;1 564;0;;78;138;3 912;;699;37;485;1 673;0;
24;27;0x0000000I64X;54;P;00:00:00:900;9214;24;;;;;36.216363;;73 712;487;0;3 417;0;;487;1 037;17 587;;5 885;58;4 787;38 351;0;
