name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;25;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:18:160;
epsnr [255];39.98;
frames;
  count;454;
    I;1 (0.22%);
    P;249 (54.84%);
    B;204 (44.93%);
  size (byte) / encode ratio (avg);8267 / 94;
    I;35 883 / 21;
    P;11 733 / 66;
    B;3 900 / 199;
bit allocation;
  max;1 968 800;
  avg;1 646 400;
  min;1 480 600;
qp [0-256];
  qp min;14;
  qp avg;23.74;
  qp max;44;
distribution (bits);
    total;68 415 (100.00%);
    mb_skip;345 (0.50%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;5 023 (7.34%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;2 126 (3.11%);
    pred_mode;3 757 (5.49%);
    inter_prediction;11 804 (17.25%);
transform;
    coded_block_pattern;5 173 (7.56%);
    transform_size_8x8_flag;518 (0.76%);
    mb_qp_delta;5 040 (7.37%);
    transform;32 585 (47.63%);
    pcm_data;0 (0.00%);
