name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;25;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:18:920;
epsnr [129];43.67;
frames;
  count;473;
    I;2 (0.42%);
    P;260 (54.96%);
    B;211 (44.60%);
  size (byte) / encode ratio (avg);8365 / 92;
    I;21 552 / 36;
    P;11 222 / 69;
    B;4 720 / 164;
bit allocation;
  max;1 906 200;
  avg;1 664 200;
  min;1 533 800;
qp [0-130];
  qp min;13;
  qp avg;19.85;
  qp max;39;
distribution (bits);
    total;66 210 (100.00%);
    mb_skip;278 (0.42%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;5 504 (8.31%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;1 992 (3.01%);
    pred_mode;3 247 (4.90%);
    inter_prediction;11 666 (17.62%);
transform;
    coded_block_pattern;5 298 (8.00%);
    transform_size_8x8_flag;659 (1.00%);
    mb_qp_delta;4 257 (6.43%);
    transform;30 964 (46.77%);
    pcm_data;0 (0.00%);
