stream;display;offset;poc;type;time;size;quant;pts;pts time;dts;dts time;epsnr;distribution (bits);total;mb_skip;mb_field_decoding_flag;mb_type;sub_mb_type;prediction;pred_mode_flag;pred_mode;inter_prediction;transform;coded_block_pattern;transform_size_8x8_flag;mb_qp_delta;transform;pcm_data;
0;0;0x0000000I64X;0;I;00:00:00:000;40609;25;;;;;38.763469;;324 872;0;0;1 052;0;;24 511;46 051;0;;0;1 166;5 342;239 500;0;
1;1;0x0000000I64X;1;P;00:00:00:040;8144;28;;;;;35.494825;;65 152;306;0;3 498;0;;1 465;2 266;14 412;;6 347;130;6 463;28 673;0;
2;2;0x0000000I64X;2;P;00:00:00:080;5177;31;;;;;32.839598;;41 416;676;0;2 426;0;;986;1 539;10 844;;4 453;111;4 826;13 882;0;
3;4;0x0000000I64X;4;P;00:00:00:160;16664;27;;;;;30.804213;;133 312;102;0;4 354;0;;11 318;20 283;12 702;;3 514;1 111;7 715;66 471;0;
4;3;0x0000000I64X;3;B;00:00:00:120;3343;33;;;;;35.248979;;26 744;876;0;3 436;0;;199;375;7 741;;3 210;564;2 853;6 309;0;
5;6;0x0000000I64X;6;P;00:00:00:240;9264;30;;;;;32.274386;;74 112;250;0;3 609;0;;3 147;5 310;15 337;;6 083;350;7 287;30 078;0;
6;5;0x0000000I64X;5;B;00:00:00:200;4001;32;;;;;33.837149;;32 008;746;0;3 937;0;;268;489;8 942;;4 166;691;3 468;7 967;0;
7;8;0x0000000I64X;8;P;00:00:00:320;11621;29;;;;;32.196157;;92 968;96;0;4 403;0;;5 529;10 058;15 325;;5 571;640;7 926;39 601;0;
8;7;0x0000000I64X;7;B;00:00:00:280;3392;32;;;;;34.852518;;27 136;884;0;3 349;0;;226;436;7 542;;3 450;537;3 003;6 423;0;
9;10;0x0000000I64X;10;P;00:00:00:400;12171;28;;;;;33.477646;;97 368;98;0;4 693;0;;6 488;11 983;14 249;;4 458;773;7 795;42 100;0;
10;9;0x0000000I64X;9;B;00:00:00:360;4836;30;;;;;35.141149;;38 688;638;0;4 710;0;;496;917;8 913;;5 465;930;4 620;10 675;0;
11;12;0x0000000I64X;12;P;00:00:00:480;12494;29;;;;;33.483415;;99 952;85;0;4 685;0;;5 320;10 031;15 495;;5 508;634;8 450;46 041;0;
12;11;0x0000000I64X;11;B;00:00:00:440;4016;30;;;;;34.380403;;32 128;829;0;4 160;0;;264;513;7 415;;4 667;726;3 992;8 254;0;
13;14;0x0000000I64X;14;P;00:00:00:560;9983;29;;;;;32.986226;;79 864;172;0;3 825;0;;2 697;4 823;14 651;;7 184;284;8 274;35 913;0;
14;13;0x0000000I64X;13;B;00:00:00:520;3082;31;;;;;34.362432;;24 656;903;0;3 092;0;;44;145;6 634;;3 467;528;2 907;5 790;0;
15;16;0x0000000I64X;16;P;00:00:00:640;13437;28;;;;;33.911361;;107 496;147;0;3 951;0;;2 607;4 712;15 219;;7 476;245;8 695;62 744;0;
16;15;0x0000000I64X;15;B;00:00:00:600;3845;30;;;;;34.657859;;30 760;699;0;4 426;0;;105;429;6 947;;4 886;715;3 900;7 452;0;
17;18;0x0000000I64X;18;P;00:00:00:720;11613;28;;;;;33.848949;;92 904;218;0;3 240;0;;975;1 760;11 898;;7 710;127;8 351;57 437;0;
18;17;0x0000000I64X;17;B;00:00:00:680;1295;31;;;;;34.261191;;10 360;1 064;0;1 284;0;;7;44;1 570;;1 656;266;1 576;2 029;0;
19;20;0x0000000I64X;20;P;00:00:00:800;9058;27;;;;;34.343487;;72 464;370;0;3 455;0;;1 861;3 270;13 421;;7 022;159;7 070;34 056;0;
20;19;0x0000000I64X;19;B;00:00:00:760;2147;30;;;;;36.296026;;17 176;961;0;2 247;0;;0;26;3 631;;2 681;406;2 221;3 928;0;
21;22;0x0000000I64X;22;P;00:00:00:880;11396;26;;;;;35.240519;;91 168;193;0;4 547;0;;2 359;4 629;17 460;;7 461;237;7 874;44 533;0;
22;21;0x0000000I64X;21;B;00:00:00:840;2813;29;;;;;36.902087;;22 504;963;0;2 797;0;;49;118;5 562;;3 220;475;2 510;5 726;0;
23;24;0x0000000I64X;24;P;00:00:00:960;14784;26;;;;;35.816878;;118 272;124;0;4 874;0;;4 834;9 005;18 610;;6 709;456;8 373;62 468;0;
24;23;0x0000000I64X;23;B;00:00:00:920;4466;28;;;;;36.955273;;35 728;743;0;4 587;0;;211;469;9 358;;4 684;728;3 685;10 004;0;
25;26;0x0000000I64X;26;P;00:00:01:040;14178;26;;;;;34.754759;;113 424;127;0;5 198;0;;5 331;9 875;19 268;;6 243;548;8 028;55 592;0;
26;25;0x0000000I64X;25;B;00:00:01:000;4029;29;;;;;36.939715;;32 232;798;0;4 379;0;;199;434;8 651;;4 108;679;3 373;8 390;0;
27;28;0x0000000I64X;28;P;00:00:01:120;15532;27;;;;;34.966633;;124 256;80;0;5 181;0;;7 601;13 405;18 363;;5 380;761;8 307;60 950;0;
28;27;0x0000000I64X;27;B;00:00:01:080;4420;29;;;;;36.525262;;35 360;771;0;4 302;0;;227;591;8 758;;4 789;772;3 950;9 948;0;
29;30;0x0000000I64X;30;P;00:00:01:200;11797;28;;;;;33.993711;;94 376;118;0;4 418;0;;4 369;7 246;17 804;;6 762;437;7 974;42 578;0;
30;29;0x0000000I64X;29;B;00:00:01:160;4609;30;;;;;35.544041;;36 872;714;0;4 337;0;;390;616;9 953;;4 639;761;3 907;10 237;0;
31;32;0x0000000I64X;32;P;00:00:01:280;12368;28;;;;;33.802282;;98 944;106;0;4 715;0;;4 967;8 445;18 884;;6 648;503;7 966;43 757;0;
32;31;0x0000000I64X;31;B;00:00:01:240;4262;30;;;;;35.212791;;34 096;792;0;3 934;0;;277;472;9 188;;4 395;685;3 546;9 576;0;
33;34;0x0000000I64X;34;P;00:00:01:360;14762;28;;;;;33.676566;;118 096;69;0;4 707;0;;8 765;14 567;15 709;;4 451;915;8 095;55 963;0;
34;33;0x0000000I64X;33;B;00:00:01:320;4817;30;;;;;34.939193;;38 536;732;0;4 483;0;;479;798;9 684;;4 911;808;4 139;11 099;0;
35;36;0x0000000I64X;36;P;00:00:01:440;12585;28;;;;;32.633075;;100 680;95;0;4 561;0;;4 683;7 551;17 736;;7 002;470;8 289;47 651;0;
36;35;0x0000000I64X;35;B;00:00:01:400;4006;31;;;;;34.859104;;32 048;804;0;3 925;0;;286;470;8 408;;4 215;622;3 407;8 597;0;
37;38;0x0000000I64X;38;P;00:00:01:520;15387;28;;;;;33.417073;;123 096;88;0;4 923;0;;8 372;13 830;16 182;;4 525;860;8 318;61 510;0;
38;37;0x0000000I64X;37;B;00:00:01:480;3733;31;;;;;34.465184;;29 864;868;0;3 209;0;;429;689;6 309;;4 095;670;3 460;8 852;0;
